"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",66,3,69,4,"1","12"
"Staphylococcus aureus","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Clindamycin",57,13,70,19,"11","29"
"Enterococcus spp.","Ampicillin",25,6,31,19,"9","36"
"Enterococcus spp.","Vancomycin",30,2,32,6,"2","20"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",4,4,8,50,"22","78"
"Streptococcus pneumoniae","3GC",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Ceftriaxone",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Cefotaxime",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Erythromycin",7,1,8,12,"2","47"
"Streptococcus pneumoniae","Clindamycin",7,1,8,12,"2","47"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",8,5,13,38,"18","64"
"Salmonella spp.","Ciprofloxacin",6,5,11,45,"21","72"
"Salmonella spp.","Levofloxacin",2,0,2,0,"0","66"
"Salmonella spp.","3GC",12,1,13,8,"1","33"
"Salmonella spp.","Ceftriaxone",12,1,13,8,"1","33"
"Salmonella spp.","Cefotaxime",12,1,13,8,"1","33"
"Salmonella spp.","Ceftazidime",12,1,13,8,"1","33"
"Salmonella spp.","CARBAPENEMS",11,0,11,0,"0","26"
"Salmonella spp.","Imipenem",11,0,11,0,"0","26"
"Salmonella spp.","Meropenem",11,0,11,0,"0","26"
"Salmonella spp.","Ertapenem",11,0,11,0,"0","26"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",163,87,250,35,"29","41"
"Escherichia coli","Amikacin",189,61,250,24,"19","30"
"Escherichia coli","Co-trimoxazole",131,116,247,47,"41","53"
"Escherichia coli","Ampicillin",43,198,241,82,"77","86"
"Escherichia coli","FLUOROQUINOLONES",96,147,243,60,"54","66"
"Escherichia coli","Ciprofloxacin",97,142,239,59,"53","65"
"Escherichia coli","Levofloxacin",0,5,5,100,"57","100"
"Escherichia coli","3GC",163,87,250,35,"29","41"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",167,83,250,33,"28","39"
"Escherichia coli","Cefotaxime",164,86,250,34,"29","40"
"Escherichia coli","Ceftazidime",174,76,250,30,"25","36"
"Escherichia coli","Cefepime",137,67,204,33,"27","40"
"Escherichia coli","CARBAPENEMS",200,7,207,3,"2","7"
"Escherichia coli","Imipenem",201,6,207,3,"1","6"
"Escherichia coli","Meropenem",201,6,207,3,"1","6"
"Escherichia coli","Ertapenem",200,7,207,3,"2","7"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",70,6,76,8,"4","16"
"Klebsiella pneumoniae","Amikacin",68,8,76,11,"5","19"
"Klebsiella pneumoniae","Co-trimoxazole",62,12,74,16,"10","26"
"Klebsiella pneumoniae","FLUOROQUINOLONES",31,45,76,59,"48","70"
"Klebsiella pneumoniae","Ciprofloxacin",29,44,73,60,"49","71"
"Klebsiella pneumoniae","Levofloxacin",3,1,4,25,"5","70"
"Klebsiella pneumoniae","3GC",59,17,76,22,"14","33"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",62,14,76,18,"11","29"
"Klebsiella pneumoniae","Cefotaxime",59,17,76,22,"14","33"
"Klebsiella pneumoniae","Ceftazidime",62,14,76,18,"11","29"
"Klebsiella pneumoniae","Cefepime",54,10,64,16,"9","26"
"Klebsiella pneumoniae","CARBAPENEMS",52,7,59,12,"6","23"
"Klebsiella pneumoniae","Imipenem",53,6,59,10,"5","20"
"Klebsiella pneumoniae","Meropenem",52,7,59,12,"6","23"
"Klebsiella pneumoniae","Ertapenem",52,7,59,12,"6","23"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",9,1,10,10,"2","40"
"Pseudomonas aeruginosa","Ciprofloxacin",10,1,11,9,"2","38"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",10,2,12,17,"5","45"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",11,1,12,8,"1","35"
"Pseudomonas aeruginosa","Gentamicin",11,1,12,8,"1","35"
"Pseudomonas aeruginosa","Amikacin",11,1,12,8,"1","35"
"Pseudomonas aeruginosa","CARBAPENEMS",10,2,12,17,"5","45"
"Pseudomonas aeruginosa","Imipenem",10,2,12,17,"5","45"
"Pseudomonas aeruginosa","Meropenem",9,2,11,18,"5","48"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",26,17,43,40,"26","54"
"Acinetobacter spp.","Gentamicin",26,17,43,40,"26","54"
"Acinetobacter spp.","Amikacin",32,11,43,26,"15","40"
"Acinetobacter spp.","CARBAPENEMS",22,21,43,49,"35","63"
"Acinetobacter spp.","Imipenem",23,20,43,47,"33","61"
"Acinetobacter spp.","Meropenem",23,20,43,47,"33","61"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
