"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","NA",0,0
"Staphylococcus aureus","MSSA","Community-origin","12% (3/25)",4,30
"Enterococcus spp.","Vancomycin-NS","Community-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Community-origin","10% (2/21)",3,29
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","9% (1/11)",2,38
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","0% (0/2)",0,66
"Salmonella spp.","Fluoroquinolone-S","Community-origin","0% (0/4)",0,49
"Escherichia coli","Carbapenem-NS","Community-origin","0% (0/1)",0,79
"Escherichia coli","3GC-NS","Community-origin","8% (3/36)",3,22
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","11% (8/70)",6,21
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Community-origin","12% (1/8)",2,47
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","18% (4/22)",7,39
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","NA",0,0
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","0% (0/3)",0,56
"Acinetobacter spp.","Carbapenem-NS","Community-origin","NA",0,0
"Acinetobacter spp.","Carbapenem-S","Community-origin","19% (3/16)",7,43
"Staphylococcus aureus","MRSA","Hospital-origin","NA",0,0
"Staphylococcus aureus","MSSA","Hospital-origin","22% (2/9)",6,55
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Hospital-origin","0% (0/4)",0,49
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","100% (1/1)",21,100
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","NA",0,0
"Escherichia coli","Carbapenem-NS","Hospital-origin","0% (0/1)",0,79
"Escherichia coli","3GC-NS","Hospital-origin","71% (5/7)",36,92
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","33% (1/3)",6,79
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","0% (0/2)",0,66
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","33% (1/3)",6,79
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","NA",0,0
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","0% (0/2)",0,66
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","67% (4/6)",30,90
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","20% (2/10)",6,51
