"Organism","AMR_str","Origin_of_infection","Gender","Age_group","count"
"organism_enterococcus_spp","Vancomycin-S",0,"male","25 to 34 years",2
"organism_enterococcus_spp","Vancomycin-S",0,"male","45 to 54 years",3
"organism_enterococcus_spp","Vancomycin-S",0,"male","55 to 64 years",2
"organism_enterococcus_spp","Vancomycin-S",0,"male","65 to 80 years",4
"organism_enterococcus_spp","Vancomycin-S",0,"male","over 80 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"female","15 to 24 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"female","45 to 54 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"female","55 to 64 years",3
"organism_enterococcus_spp","Vancomycin-S",0,"female","65 to 80 years",2
"organism_enterococcus_spp","Vancomycin-S",0,"female","over 80 years",2
"organism_enterococcus_spp","Vancomycin-S",1,"male","45 to 54 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"male","65 to 80 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"female","55 to 64 years",2
"organism_enterococcus_spp",NA,0,"male","25 to 34 years",1
"organism_enterococcus_spp",NA,0,"male","35 to 44 years",1
"organism_enterococcus_spp",NA,0,"male","45 to 54 years",1
"organism_enterococcus_spp",NA,0,"male","55 to 64 years",1
"organism_enterococcus_spp",NA,0,"male","65 to 80 years",1
"organism_enterococcus_spp",NA,0,"female","65 to 80 years",1
"organism_enterococcus_spp",NA,0,"female","over 80 years",1
"organism_enterococcus_spp",NA,1,"male","55 to 64 years",2
