"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","Less than 1",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","45 to 54 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","65 to 80 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","15 to 24 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","15 to 24 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","35 to 44 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","45 to 54 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","55 to 64 years",3
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","65 to 80 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","25 to 34 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","55 to 64 years",5
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","65 to 80 years",5
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","65 to 80 years",1
"organism_klebsiella_pneumoniae",NA,0,"male","55 to 64 years",1
"organism_klebsiella_pneumoniae",NA,0,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae",NA,0,"female","65 to 80 years",2
"organism_klebsiella_pneumoniae",NA,1,"male","55 to 64 years",1
"organism_klebsiella_pneumoniae",NA,1,"female","45 to 54 years",1
