"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",9,1,10,10,"2","40"
"Staphylococcus aureus","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Clindamycin",0,1,1,100,"21","100"
"Enterococcus spp.","Ampicillin",0,1,1,100,"21","100"
"Enterococcus spp.","Vancomycin",1,0,1,0,"0","79"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",0,7,7,100,"65","100"
"Streptococcus pneumoniae","Co-trimoxazole",0,7,7,100,"65","100"
"Streptococcus pneumoniae","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",3,4,7,57,"25","84"
"Streptococcus pneumoniae","Clindamycin",4,3,7,43,"16","75"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",1,5,6,83,"44","97"
"Salmonella spp.","Ciprofloxacin",1,5,6,83,"44","97"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",5,1,6,17,"3","56"
"Salmonella spp.","Ceftriaxone",5,1,6,17,"3","56"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",5,4,9,44,"19","73"
"Escherichia coli","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Co-trimoxazole",1,8,9,89,"57","98"
"Escherichia coli","Ampicillin",0,9,9,100,"70","100"
"Escherichia coli","FLUOROQUINOLONES",4,5,9,56,"27","81"
"Escherichia coli","Ciprofloxacin",4,5,9,56,"27","81"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",2,7,9,78,"45","94"
"Escherichia coli","Cefpodoxime",2,7,9,78,"45","94"
"Escherichia coli","Ceftriaxone",2,7,9,78,"45","94"
"Escherichia coli","Cefotaxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftazidime",2,7,9,78,"45","94"
"Escherichia coli","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","CARBAPENEMS",9,0,9,0,"0","30"
"Escherichia coli","Imipenem",5,0,5,0,"0","43"
"Escherichia coli","Meropenem",4,0,4,0,"0","49"
"Escherichia coli","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",7,1,8,12,"2","47"
"Klebsiella pneumoniae","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Co-trimoxazole",4,4,8,50,"22","78"
"Klebsiella pneumoniae","FLUOROQUINOLONES",6,2,8,25,"7","59"
"Klebsiella pneumoniae","Ciprofloxacin",6,2,8,25,"7","59"
"Klebsiella pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","3GC",5,3,8,38,"14","69"
"Klebsiella pneumoniae","Cefpodoxime",5,3,8,38,"14","69"
"Klebsiella pneumoniae","Ceftriaxone",5,3,8,38,"14","69"
"Klebsiella pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftazidime",5,3,8,38,"14","69"
"Klebsiella pneumoniae","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","CARBAPENEMS",8,0,8,0,"0","32"
"Klebsiella pneumoniae","Imipenem",4,0,4,0,"0","49"
"Klebsiella pneumoniae","Meropenem",4,0,4,0,"0","49"
"Klebsiella pneumoniae","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Ciprofloxacin",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Gentamicin",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","CARBAPENEMS",4,1,5,20,"4","62"
"Pseudomonas aeruginosa","Imipenem",1,1,2,50,"9","91"
"Pseudomonas aeruginosa","Meropenem",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",5,1,6,17,"3","56"
"Acinetobacter spp.","Gentamicin",5,1,6,17,"3","56"
"Acinetobacter spp.","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","CARBAPENEMS",6,0,6,0,"0","39"
"Acinetobacter spp.","Imipenem",2,0,2,0,"0","66"
"Acinetobacter spp.","Meropenem",4,0,4,0,"0","49"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
