"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",0,0,0,190.75279,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,190.75279,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,190.75279,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",3,149.253731343284,50.77243,437.91841,"Community"
"E. coli","3GC-NS E. coli",3,149.253731343284,50.77243,437.91841,"Community"
"E. coli","Carbapenem-NSE. coli",0,0,0,190.75279,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",0,0,0,190.75279,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",0,0,0,190.75279,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",0,0,0,190.75279,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",0,0,0,190.75279,"Community"
