"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","NA",0,0
"Staphylococcus aureus","MSSA","Community-origin","0% (0/8)",0,32
"Enterococcus spp.","Vancomycin-NS","Community-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","33% (1/3)",6,79
"Salmonella spp.","Fluoroquinolone-S","Community-origin","0% (0/1)",0,79
"Escherichia coli","Carbapenem-NS","Community-origin","NA",0,0
"Escherichia coli","3GC-NS","Community-origin","33% (1/3)",6,79
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","50% (1/2)",9,91
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Community-origin","NA",0,0
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","50% (1/2)",9,91
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","NA",0,0
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","50% (1/2)",9,91
"Acinetobacter spp.","Carbapenem-NS","Community-origin","NA",0,0
"Acinetobacter spp.","Carbapenem-S","Community-origin","0% (0/3)",0,56
"Staphylococcus aureus","MRSA","Hospital-origin","0% (0/1)",0,79
"Staphylococcus aureus","MSSA","Hospital-origin","0% (0/1)",0,79
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Hospital-origin","100% (1/1)",21,100
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","0% (0/2)",0,66
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","NA",0,0
"Escherichia coli","Carbapenem-NS","Hospital-origin","NA",0,0
"Escherichia coli","3GC-NS","Hospital-origin","75% (3/4)",30,95
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","NA",0,0
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","67% (2/3)",21,94
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","0% (0/3)",0,56
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","100% (1/1)",21,100
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","100% (2/2)",34,100
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","NA",0,0
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","33% (1/3)",6,79
