"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",15,1,16,6,"1","28"
"Staphylococcus aureus","Community","Vancomycin",17,0,17,0,"0","18"
"Staphylococcus aureus","Community","Clindamycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Ampicillin",1,0,1,0,"0","79"
"Enterococcus spp.","Community","Vancomycin",1,0,1,0,"0","79"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",1,2,3,67,"21","94"
"Streptococcus pneumoniae","Community","3GC",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Community","Ceftriaxone",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Community","Cefotaxime",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Community","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",5,0,5,0,"0","43"
"Salmonella spp.","Community","Ceftriaxone",5,0,5,0,"0","43"
"Salmonella spp.","Community","Cefotaxime",5,0,5,0,"0","43"
"Salmonella spp.","Community","Ceftazidime",4,0,4,0,"0","49"
"Salmonella spp.","Community","CARBAPENEMS",5,0,5,0,"0","43"
"Salmonella spp.","Community","Imipenem",5,0,5,0,"0","43"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","3GC",68,34,102,33,"25","43"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",71,31,102,30,"22","40"
"Escherichia coli","Community","Cefotaxime",76,26,102,25,"18","35"
"Escherichia coli","Community","Ceftazidime",85,17,102,17,"11","25"
"Escherichia coli","Community","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","CARBAPENEMS",101,1,102,1,"0","5"
"Escherichia coli","Community","Imipenem",101,1,102,1,"0","5"
"Escherichia coli","Community","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","3GC",28,6,34,18,"8","34"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",29,5,34,15,"6","30"
"Klebsiella pneumoniae","Community","Cefotaxime",30,4,34,12,"5","27"
"Klebsiella pneumoniae","Community","Ceftazidime",30,4,34,12,"5","27"
"Klebsiella pneumoniae","Community","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","CARBAPENEMS",32,2,34,6,"2","19"
"Klebsiella pneumoniae","Community","Imipenem",32,2,34,6,"2","19"
"Klebsiella pneumoniae","Community","Meropenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Gentamicin",0,0,0,NA,"NA","NA"
