"Organism","Total_number_of_patients","Number_of_patients_with_blood_positive_deduplicated","Number_of_patients_with_csf_positive_deduplicated","Number_of_patients_with_genitLal_swab_positive_deduplicated","Number_of_patients_with_rts_positive_deduplicated","Number_of_patients_with_stool_positive_deduplicated","Number_of_patients_with_urine_positive_deduplicated","Number_of_patients_with_others_positive_deduplicated"
"B. pseudomallei","22","20","0","0","1","0","2","0"
"Brucella spp","0","0","0","0","0","0","0","0"
"C. diphtheriae","0","0","0","0","0","0","0","0"
"N. gonorrhoeae","0","0","0","0","0","0","0","0"
"N. meningitidis","0","0","0","0","0","0","0","0"
"Salmonella enterica
serotype paratyphi","0","0","0","0","0","0","0","0"
"Salmonella enterica
serotype typhi","0","0","0","0","0","0","0","0"
"Non-typhoidal
Salmonella spp","14","10","0","0","0","2","1","1"
"Shigella spp","0","0","0","0","0","0","0","0"
"S. suis","4","4","0","0","0","0","0","0"
"Vibrio spp","0","0","0","0","0","0","0","0"
"Total","40","34","0","0","1","2","3","1"
