"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",0,"male","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",0,"male","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","55 to 64 years",3
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","over 80 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","45 to 54 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","45 to 54 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","55 to 64 years",3
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","65 to 80 years",10
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","over 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","45 to 54 years",3
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","55 to 64 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","65 to 80 years",7
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","over 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","45 to 54 years",3
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","65 to 80 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","Less than 1",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","65 to 80 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","over 80 years",2
