"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",89,1,90,1,"0","6"
"Staphylococcus aureus","Vancomycin",1,0,1,0,"0","79"
"Staphylococcus aureus","Clindamycin",84,6,90,7,"3","14"
"Enterococcus spp.","Ampicillin",44,4,48,8,"3","20"
"Enterococcus spp.","Vancomycin",48,0,48,0,"0","7"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",16,0,16,0,"0","19"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",1,0,1,0,"0","79"
"Streptococcus pneumoniae","3GC",13,0,13,0,"0","23"
"Streptococcus pneumoniae","Ceftriaxone",13,0,13,0,"0","23"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",10,6,16,38,"18","61"
"Streptococcus pneumoniae","Clindamycin",13,3,16,19,"7","43"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",18,4,22,18,"7","39"
"Salmonella spp.","Ciprofloxacin",18,4,22,18,"7","39"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",22,0,22,0,"0","15"
"Salmonella spp.","Ceftriaxone",0,0,0,NA,"NA","NA"
"Salmonella spp.","Cefotaxime",22,0,22,0,"0","15"
"Salmonella spp.","Ceftazidime",22,0,22,0,"0","15"
"Salmonella spp.","CARBAPENEMS",22,0,22,0,"0","15"
"Salmonella spp.","Imipenem",18,0,18,0,"0","18"
"Salmonella spp.","Meropenem",22,0,22,0,"0","15"
"Salmonella spp.","Ertapenem",22,0,22,0,"0","15"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",188,57,245,23,"18","29"
"Escherichia coli","Amikacin",256,0,256,0,"0","1"
"Escherichia coli","Co-trimoxazole",111,145,256,57,"51","63"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",155,101,256,39,"34","46"
"Escherichia coli","Ciprofloxacin",155,101,256,39,"34","46"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",186,70,256,27,"22","33"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",0,1,1,100,"21","100"
"Escherichia coli","Cefotaxime",187,68,255,27,"22","32"
"Escherichia coli","Ceftazidime",190,66,256,26,"21","31"
"Escherichia coli","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","CARBAPENEMS",254,2,256,1,"0","3"
"Escherichia coli","Imipenem",187,1,188,1,"0","3"
"Escherichia coli","Meropenem",255,1,256,0,"0","2"
"Escherichia coli","Ertapenem",252,2,254,1,"0","3"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",68,6,74,8,"4","17"
"Klebsiella pneumoniae","Amikacin",73,1,74,1,"0","7"
"Klebsiella pneumoniae","Co-trimoxazole",58,16,74,22,"14","32"
"Klebsiella pneumoniae","FLUOROQUINOLONES",54,20,74,27,"18","38"
"Klebsiella pneumoniae","Ciprofloxacin",54,20,74,27,"18","38"
"Klebsiella pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","3GC",60,14,74,19,"12","29"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Cefotaxime",59,14,73,19,"12","30"
"Klebsiella pneumoniae","Ceftazidime",61,13,74,18,"11","28"
"Klebsiella pneumoniae","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","CARBAPENEMS",74,0,74,0,"0","5"
"Klebsiella pneumoniae","Imipenem",51,0,51,0,"0","7"
"Klebsiella pneumoniae","Meropenem",74,0,74,0,"0","5"
"Klebsiella pneumoniae","Ertapenem",74,0,74,0,"0","5"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",8,0,8,0,"0","32"
"Pseudomonas aeruginosa","Ciprofloxacin",8,0,8,0,"0","32"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",8,0,8,0,"0","32"
"Pseudomonas aeruginosa","Gentamicin",8,0,8,0,"0","32"
"Pseudomonas aeruginosa","Amikacin",8,0,8,0,"0","32"
"Pseudomonas aeruginosa","CARBAPENEMS",7,1,8,12,"2","47"
"Pseudomonas aeruginosa","Imipenem",7,1,8,12,"2","47"
"Pseudomonas aeruginosa","Meropenem",7,1,8,12,"2","47"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",34,10,44,23,"13","37"
"Acinetobacter spp.","Gentamicin",34,10,44,23,"13","37"
"Acinetobacter spp.","Amikacin",40,4,44,9,"4","21"
"Acinetobacter spp.","CARBAPENEMS",35,9,44,20,"11","35"
"Acinetobacter spp.","Imipenem",29,6,35,17,"8","33"
"Acinetobacter spp.","Meropenem",35,9,44,20,"11","35"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
