"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",4,136.425648021828,53.06566,350.27556,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,130.84694,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,130.84694,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",3,102.319236016371,34.80374,300.41391,"Community"
"E. coli","3GC-NS E. coli",29,989.085948158254,689.55141,1416.87905,"Community"
"E. coli","Carbapenem-NSE. coli",0,0,0,130.84694,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",8,272.851296043656,138.32319,537.51231,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",1,34.106412005457,6.02087,192.94964,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",3,102.319236016371,34.80374,300.41391,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",20,682.128240109141,442.01215,1051.30619,"Community"
