"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",18,151.719487525287,95.99478,239.71461,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",2,16.857720836143,4.62312,61.45005,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,32.36864,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",16,134.861766689144,83.0324,218.97247,"Hospital"
"E. coli","3GC-NS E. coli",91,767.026298044504,625.19314,940.73154,"Hospital"
"E. coli","Carbapenem-NSE. coli",3,25.2865812542144,8.60008,74.32535,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",46,387.727579231288,290.82871,516.74408,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",5,42.1443020903574,18.00283,98.62713,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",8,67.4308833445718,34.17273,133.01402,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",54,455.15846257586,349.03577,593.35513,"Hospital"
