"Organism","Total_number_of_patients","Number_of_patients_with_blood_positive_deduplicated","Number_of_patients_with_csf_positive_deduplicated","Number_of_patients_with_genitLal_swab_positive_deduplicated","Number_of_patients_with_rts_positive_deduplicated","Number_of_patients_with_stool_positive_deduplicated","Number_of_patients_with_urine_positive_deduplicated","Number_of_patients_with_others_positive_deduplicated"
"B. pseudomallei","265","143","0","0","50","0","0","117"
"Brucella spp","1","1","0","0","0","0","0","0"
"C. diphtheriae","0","0","0","0","0","0","0","0"
"N. gonorrhoeae","0","0","0","0","0","0","0","0"
"N. meningitidis","0","0","0","0","0","0","0","0"
"Salmonella enterica
serotype paratyphi","0","0","0","0","0","0","0","0"
"Salmonella enterica
serotype typhi","0","0","0","0","0","0","0","0"
"Non-typhoidal
Salmonella spp","85","22","0","0","1","61","0","7"
"Shigella spp","0","0","0","0","0","0","0","0"
"S. suis","0","0","0","0","0","0","0","0"
"Vibrio spp","45","0","0","0","0","45","0","0"
"Total","396","166","0","0","51","106","0","124"
