"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",48,1,49,2,"0","11"
"Staphylococcus aureus","Vancomycin",45,0,45,0,"0","8"
"Staphylococcus aureus","Clindamycin",45,2,47,4,"1","14"
"Enterococcus spp.","Ampicillin",16,5,21,24,"11","45"
"Enterococcus spp.","Vancomycin",21,0,21,0,"0","15"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",9,0,9,0,"0","30"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",0,3,3,100,"44","100"
"Streptococcus pneumoniae","3GC",9,0,9,0,"0","30"
"Streptococcus pneumoniae","Ceftriaxone",9,0,9,0,"0","30"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",6,2,8,25,"7","59"
"Streptococcus pneumoniae","Clindamycin",7,1,8,12,"2","47"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",4,2,6,33,"10","70"
"Salmonella spp.","Ciprofloxacin",4,2,6,33,"10","70"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",7,0,7,0,"0","35"
"Salmonella spp.","Ceftriaxone",7,0,7,0,"0","35"
"Salmonella spp.","Cefotaxime",6,0,6,0,"0","39"
"Salmonella spp.","Ceftazidime",6,0,6,0,"0","39"
"Salmonella spp.","CARBAPENEMS",7,0,7,0,"0","35"
"Salmonella spp.","Imipenem",6,0,6,0,"0","39"
"Salmonella spp.","Meropenem",6,0,6,0,"0","39"
"Salmonella spp.","Ertapenem",7,0,7,0,"0","35"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",117,33,150,22,"16","29"
"Escherichia coli","Amikacin",146,0,146,0,"0","3"
"Escherichia coli","Co-trimoxazole",73,77,150,51,"43","59"
"Escherichia coli","Ampicillin",42,108,150,72,"64","79"
"Escherichia coli","FLUOROQUINOLONES",90,60,150,40,"33","48"
"Escherichia coli","Ciprofloxacin",90,60,150,40,"33","48"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",110,40,150,27,"20","34"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",111,39,150,26,"20","34"
"Escherichia coli","Cefotaxime",106,40,146,27,"21","35"
"Escherichia coli","Ceftazidime",121,29,150,19,"14","26"
"Escherichia coli","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","CARBAPENEMS",148,2,150,1,"0","5"
"Escherichia coli","Imipenem",145,1,146,1,"0","4"
"Escherichia coli","Meropenem",145,1,146,1,"0","4"
"Escherichia coli","Ertapenem",148,2,150,1,"0","5"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,142,142,100,"97","100"
"Klebsiella pneumoniae","Gentamicin",51,8,59,14,"7","25"
"Klebsiella pneumoniae","Amikacin",58,0,58,0,"0","6"
"Klebsiella pneumoniae","Co-trimoxazole",44,15,59,25,"16","38"
"Klebsiella pneumoniae","FLUOROQUINOLONES",37,22,59,37,"26","50"
"Klebsiella pneumoniae","Ciprofloxacin",37,22,59,37,"26","50"
"Klebsiella pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","3GC",44,15,59,25,"16","38"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",45,14,59,24,"15","36"
"Klebsiella pneumoniae","Cefotaxime",43,15,58,26,"16","38"
"Klebsiella pneumoniae","Ceftazidime",45,14,59,24,"15","36"
"Klebsiella pneumoniae","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","CARBAPENEMS",56,3,59,5,"2","14"
"Klebsiella pneumoniae","Imipenem",56,2,58,3,"1","12"
"Klebsiella pneumoniae","Meropenem",56,2,58,3,"1","12"
"Klebsiella pneumoniae","Ertapenem",56,3,59,5,"2","14"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,57,57,100,"94","100"
"Pseudomonas aeruginosa","Ceftazidime",8,1,9,11,"2","43"
"Pseudomonas aeruginosa","Ciprofloxacin",7,2,9,22,"6","55"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",6,2,8,25,"7","59"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",8,1,9,11,"2","43"
"Pseudomonas aeruginosa","Gentamicin",8,1,9,11,"2","43"
"Pseudomonas aeruginosa","Amikacin",9,0,9,0,"0","30"
"Pseudomonas aeruginosa","CARBAPENEMS",6,2,8,25,"7","59"
"Pseudomonas aeruginosa","Imipenem",5,2,7,29,"8","64"
"Pseudomonas aeruginosa","Meropenem",7,1,8,12,"2","47"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,8,8,100,"68","100"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",15,10,25,40,"23","59"
"Acinetobacter spp.","Gentamicin",15,10,25,40,"23","59"
"Acinetobacter spp.","Amikacin",25,0,25,0,"0","13"
"Acinetobacter spp.","CARBAPENEMS",19,6,25,24,"11","43"
"Acinetobacter spp.","Imipenem",19,6,25,24,"11","43"
"Acinetobacter spp.","Meropenem",20,5,25,20,"9","39"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,24,24,100,"86","100"
