"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",58
"Enterococcus faecalis",40
"Enterococcus faecium",12
"Enterococcus raffinosus",2
"Escherichia coli",489
"Klebsiella pneumoniae",189
"Klebsiella pneumoniae ssp pneumoniae",3
"No Growth after 2 days",42
"No Growth after 5 days",9782
"Pseudomonas aeruginosa",28
"Salmonella serogroup C",2
"Salmonella serogroup D",8
"Salmonella serogroup E",2
"Salmonella serotype Paratyphi C",2
"Salmonella species",2
"Staphylococcus aureus",128
"Staphylococcus aureus_",2
"Streptococcus pneumoniae",20
"Streptococcus pneumoniae_",4
