"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",0,0,0,119.90165,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,119.90165,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,119.90165,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",1,31.25,5.51661,176.81011,"Community"
"E. coli","3GC-NS E. coli",28,875,606.08259,1261.72078,"Community"
"E. coli","Carbapenem-NSE. coli",2,62.5,17.14143,227.61035,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",7,218.75,106.00353,450.87355,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",0,0,0,119.90165,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",1,31.25,5.51661,176.81011,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",2,62.5,17.14143,227.61035,"Community"
