"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","NA",0,0
"Staphylococcus aureus","MSSA","Community-origin","22% (7/32)",11,39
"Enterococcus spp.","Vancomycin-NS","Community-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Community-origin","19% (3/16)",7,43
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","14% (1/7)",3,51
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","0% (0/1)",0,79
"Salmonella spp.","Fluoroquinolone-S","Community-origin","33% (1/3)",6,79
"Escherichia coli","Carbapenem-NS","Community-origin","0% (0/2)",0,66
"Escherichia coli","3GC-NS","Community-origin","8% (2/26)",2,24
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","15% (13/89)",9,23
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Community-origin","14% (1/7)",3,51
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","16% (5/31)",7,33
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","0% (0/1)",0,79
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","40% (2/5)",12,77
"Acinetobacter spp.","Carbapenem-NS","Community-origin","50% (1/2)",9,91
"Acinetobacter spp.","Carbapenem-S","Community-origin","14% (1/7)",3,51
"Staphylococcus aureus","MRSA","Hospital-origin","NA",0,0
"Staphylococcus aureus","MSSA","Hospital-origin","25% (2/8)",7,59
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Hospital-origin","0% (0/3)",0,56
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","NA",0,0
"Escherichia coli","Carbapenem-NS","Hospital-origin","NA",0,0
"Escherichia coli","3GC-NS","Hospital-origin","25% (1/4)",5,70
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","43% (3/7)",16,75
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","0% (0/3)",0,56
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","80% (4/5)",38,96
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","40% (2/5)",12,77
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","0% (0/1)",0,79
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","NA",0,0
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","33% (1/3)",6,79
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","44% (4/9)",19,73
