"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",1,3,4,75,"30","95"
"Staphylococcus aureus","Community","Vancomycin",3,1,4,25,"5","70"
"Staphylococcus aureus","Community","Clindamycin",2,2,4,50,"15","85"
"Enterococcus spp.","Community","Ampicillin",2,1,3,33,"6","79"
"Enterococcus spp.","Community","Vancomycin",3,0,3,0,"0","56"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",2,1,3,33,"6","79"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",1,1,2,50,"9","91"
"Salmonella spp.","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Levofloxacin",1,1,2,50,"9","91"
"Salmonella spp.","Community","3GC",2,0,2,0,"0","66"
"Salmonella spp.","Community","Ceftriaxone",2,0,2,0,"0","66"
"Salmonella spp.","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","CARBAPENEMS",2,0,2,0,"0","66"
"Salmonella spp.","Community","Imipenem",2,0,2,0,"0","66"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",2,0,2,0,"0","66"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",9,3,12,25,"9","53"
"Escherichia coli","Community","Amikacin",9,1,10,10,"2","40"
"Escherichia coli","Community","Co-trimoxazole",6,4,10,40,"17","69"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",7,5,12,42,"19","68"
"Escherichia coli","Community","Ciprofloxacin",1,1,2,50,"9","91"
"Escherichia coli","Community","Levofloxacin",6,4,10,40,"17","69"
"Escherichia coli","Community","3GC",2,10,12,83,"55","95"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",2,7,9,78,"45","94"
"Escherichia coli","Community","Cefotaxime",0,3,3,100,"44","100"
"Escherichia coli","Community","Ceftazidime",0,1,1,100,"21","100"
"Escherichia coli","Community","Cefepime",4,6,10,60,"31","83"
"Escherichia coli","Community","CARBAPENEMS",8,4,12,33,"14","61"
"Escherichia coli","Community","Imipenem",10,2,12,17,"5","45"
"Escherichia coli","Community","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ertapenem",7,2,9,22,"6","55"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Amikacin",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Co-trimoxazole",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Levofloxacin",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","3GC",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftazidime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Cefepime",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","CARBAPENEMS",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Imipenem",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Meropenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ertapenem",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",0,0,0,NA,"NA","NA"
