"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",3,646.551724137931,220.12458,1883.46386,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,821.10269,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,821.10269,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",1,215.51724137931,38.05422,1210.54372,"Community"
"E. coli","3GC-NS E. coli",10,2155.1724137931,1174.77788,3921.27728,"Community"
"E. coli","Carbapenem-NSE. coli",4,862.068965517241,335.73789,2195.34579,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",0,0,0,821.10269,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",0,0,0,821.10269,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",0,0,0,821.10269,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",1,215.51724137931,38.05422,1210.54372,"Community"
