"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_escherichia_coli","3GCNS−carb−NS",0,"male","Unknown",2
"organism_escherichia_coli","3GCNS−carb−NS",0,"female","Unknown",2
"organism_escherichia_coli","3GCNS−carb−NS",1,"male","Unknown",5
"organism_escherichia_coli","3GCNS−carb−NS",1,"female","Unknown",9
"organism_escherichia_coli","3GCNS−carb−S",0,"male","Unknown",4
"organism_escherichia_coli","3GCNS−carb−S",0,"female","Unknown",2
"organism_escherichia_coli","3GCNS−carb−S",1,"male","Unknown",5
"organism_escherichia_coli","3GCNS−carb−S",1,"female","Unknown",3
"organism_escherichia_coli","3GCS−carb−S",0,"male","Unknown",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","Unknown",1
"organism_escherichia_coli","3GCS−carb−S",1,"male","Unknown",1
"organism_escherichia_coli","3GCS−carb−S",1,"female","Unknown",2
