"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",49,4,53,8,"3","18"
"Staphylococcus aureus","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Clindamycin",45,7,52,13,"7","25"
"Enterococcus spp.","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",12,0,12,0,"0","24"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",5,6,11,55,"28","79"
"Streptococcus pneumoniae","3GC",11,0,11,0,"0","26"
"Streptococcus pneumoniae","Ceftriaxone",11,0,11,0,"0","26"
"Streptococcus pneumoniae","Cefotaxime",10,0,10,0,"0","28"
"Streptococcus pneumoniae","Erythromycin",6,6,12,50,"25","75"
"Streptococcus pneumoniae","Clindamycin",7,5,12,42,"19","68"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",4,1,5,20,"4","62"
"Salmonella spp.","Ciprofloxacin",3,0,3,0,"0","56"
"Salmonella spp.","Levofloxacin",1,1,2,50,"9","91"
"Salmonella spp.","3GC",10,0,10,0,"0","28"
"Salmonella spp.","Ceftriaxone",10,0,10,0,"0","28"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",5,0,5,0,"0","43"
"Salmonella spp.","CARBAPENEMS",7,0,7,0,"0","35"
"Salmonella spp.","Imipenem",7,0,7,0,"0","35"
"Salmonella spp.","Meropenem",6,0,6,0,"0","39"
"Salmonella spp.","Ertapenem",6,0,6,0,"0","39"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",106,18,124,15,"9","22"
"Escherichia coli","Amikacin",161,0,161,0,"0","2"
"Escherichia coli","Co-trimoxazole",81,42,123,34,"26","43"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",77,84,161,52,"44","60"
"Escherichia coli","Ciprofloxacin",78,83,161,52,"44","59"
"Escherichia coli","Levofloxacin",3,12,15,80,"55","93"
"Escherichia coli","3GC",123,38,161,24,"18","31"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",123,38,161,24,"18","31"
"Escherichia coli","Cefotaxime",3,2,5,40,"12","77"
"Escherichia coli","Ceftazidime",33,5,38,13,"6","27"
"Escherichia coli","Cefepime",146,2,148,1,"0","5"
"Escherichia coli","CARBAPENEMS",160,1,161,1,"0","3"
"Escherichia coli","Imipenem",160,1,161,1,"0","3"
"Escherichia coli","Meropenem",159,1,160,1,"0","3"
"Escherichia coli","Ertapenem",158,1,159,1,"0","3"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",65,8,73,11,"6","20"
"Klebsiella pneumoniae","Amikacin",75,1,76,1,"0","7"
"Klebsiella pneumoniae","Co-trimoxazole",51,22,73,30,"21","41"
"Klebsiella pneumoniae","FLUOROQUINOLONES",46,30,76,39,"29","51"
"Klebsiella pneumoniae","Ciprofloxacin",46,30,76,39,"29","51"
"Klebsiella pneumoniae","Levofloxacin",0,3,3,100,"44","100"
"Klebsiella pneumoniae","3GC",46,30,76,39,"29","51"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",46,30,76,39,"29","51"
"Klebsiella pneumoniae","Cefotaxime",2,1,3,33,"6","79"
"Klebsiella pneumoniae","Ceftazidime",3,6,9,67,"35","88"
"Klebsiella pneumoniae","Cefepime",49,20,69,29,"20","41"
"Klebsiella pneumoniae","CARBAPENEMS",67,9,76,12,"6","21"
"Klebsiella pneumoniae","Imipenem",67,8,75,11,"6","20"
"Klebsiella pneumoniae","Meropenem",69,7,76,9,"5","18"
"Klebsiella pneumoniae","Ertapenem",68,8,76,11,"5","19"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",9,7,16,44,"23","67"
"Pseudomonas aeruginosa","Ciprofloxacin",10,6,16,38,"18","61"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",7,7,14,50,"27","73"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",13,3,16,19,"7","43"
"Pseudomonas aeruginosa","Gentamicin",0,0,0,NA,"NA","NA"
