"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",4,3,7,43,"16","75"
"Staphylococcus aureus","Vancomycin",9,0,9,0,"0","30"
"Staphylococcus aureus","Clindamycin",3,5,8,62,"31","86"
"Enterococcus spp.","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Vancomycin",70,14,84,17,"10","26"
"Enterococcus spp.","Teicoplanin",71,12,83,14,"8","24"
"Enterococcus spp.","Linezolid",83,1,84,1,"0","6"
"Enterococcus spp.","Daptomycin",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Penicillin G",33,1,34,3,"1","15"
"Streptococcus pneumoniae","Oxacillin",32,1,33,3,"1","15"
"Streptococcus pneumoniae","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","3GC",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Ceftriaxone",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Cefotaxime",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Erythromycin",34,0,34,0,"0","10"
"Streptococcus pneumoniae","Clindamycin",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Levofloxacin",34,0,34,0,"0","10"
"Salmonella spp.","FLUOROQUINOLONES",4,2,6,33,"10","70"
"Salmonella spp.","Ciprofloxacin",4,2,6,33,"10","70"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",5,0,5,0,"0","43"
"Salmonella spp.","Ceftriaxone",5,0,5,0,"0","43"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",242,45,287,16,"12","20"
"Escherichia coli","Amikacin",268,16,284,6,"3","9"
"Escherichia coli","Co-trimoxazole",8,28,36,78,"62","88"
"Escherichia coli","Ampicillin",215,72,287,25,"20","30"
"Escherichia coli","FLUOROQUINOLONES",215,72,287,25,"20","30"
"Escherichia coli","Ciprofloxacin",215,72,287,25,"20","30"
"Escherichia coli","Levofloxacin",3,1,4,25,"5","70"
"Escherichia coli","3GC",232,55,287,19,"15","24"
"Escherichia coli","Cefpodoxime",94,18,112,16,"10","24"
"Escherichia coli","Ceftriaxone",0,0,0,NA,"NA","NA"
"Escherichia coli","Cefotaxime",225,50,275,18,"14","23"
"Escherichia coli","Ceftazidime",232,55,287,19,"15","24"
"Escherichia coli","Cefepime",225,52,277,19,"15","24"
"Escherichia coli","CARBAPENEMS",287,0,287,0,"0","1"
"Escherichia coli","Imipenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Meropenem",287,0,287,0,"0","1"
"Escherichia coli","Ertapenem",277,0,277,0,"0","1"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Gentamicin",47,15,62,24,"15","36"
"Klebsiella pneumoniae","Amikacin",60,2,62,3,"1","11"
"Klebsiella pneumoniae","Co-trimoxazole",0,5,5,100,"57","100"
"Klebsiella pneumoniae","FLUOROQUINOLONES",44,18,62,29,"19","41"
"Klebsiella pneumoniae","Ciprofloxacin",44,18,62,29,"19","41"
"Klebsiella pneumoniae","Levofloxacin",1,1,2,50,"9","91"
"Klebsiella pneumoniae","3GC",46,16,62,26,"17","38"
"Klebsiella pneumoniae","Cefpodoxime",9,7,16,44,"23","67"
"Klebsiella pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Cefotaxime",45,14,59,24,"15","36"
"Klebsiella pneumoniae","Ceftazidime",46,16,62,26,"17","38"
"Klebsiella pneumoniae","Cefepime",46,13,59,22,"13","34"
"Klebsiella pneumoniae","CARBAPENEMS",62,0,62,0,"0","6"
"Klebsiella pneumoniae","Imipenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Meropenem",62,0,62,0,"0","6"
"Klebsiella pneumoniae","Ertapenem",59,0,59,0,"0","6"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",49,9,58,16,"8","27"
"Pseudomonas aeruginosa","Ciprofloxacin",54,4,58,7,"3","16"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",51,7,58,12,"6","23"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",57,1,58,2,"0","9"
"Pseudomonas aeruginosa","Gentamicin",57,1,58,2,"0","9"
"Pseudomonas aeruginosa","Amikacin",57,1,58,2,"0","9"
"Pseudomonas aeruginosa","CARBAPENEMS",53,5,58,9,"4","19"
"Pseudomonas aeruginosa","Imipenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Meropenem",53,5,58,9,"4","19"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",1,0,1,0,"0","79"
"Acinetobacter spp.","Minocycline",1,0,1,0,"0","79"
"Acinetobacter spp.","AMINOGLYCOSIDES",9,0,9,0,"0","30"
"Acinetobacter spp.","Gentamicin",9,0,9,0,"0","30"
"Acinetobacter spp.","Amikacin",8,0,8,0,"0","32"
"Acinetobacter spp.","CARBAPENEMS",8,1,9,11,"2","43"
"Acinetobacter spp.","Imipenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Meropenem",8,1,9,11,"2","43"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
