"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",3,2,5,40,"12","77"
"Staphylococcus aureus","Community","Vancomycin",6,0,6,0,"0","39"
"Staphylococcus aureus","Community","Clindamycin",3,2,5,40,"12","77"
"Enterococcus spp.","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Vancomycin",26,2,28,7,"2","23"
"Enterococcus spp.","Community","Teicoplanin",27,1,28,4,"1","18"
"Enterococcus spp.","Community","Linezolid",27,1,28,4,"1","18"
"Enterococcus spp.","Community","Daptomycin",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Community","Penicillin G",23,1,24,4,"1","20"
"Streptococcus pneumoniae","Community","Oxacillin",22,1,23,4,"1","21"
"Streptococcus pneumoniae","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","3GC",7,0,7,0,"0","35"
"Streptococcus pneumoniae","Community","Ceftriaxone",7,0,7,0,"0","35"
"Streptococcus pneumoniae","Community","Cefotaxime",7,0,7,0,"0","35"
"Streptococcus pneumoniae","Community","Erythromycin",24,0,24,0,"0","14"
"Streptococcus pneumoniae","Community","Clindamycin",7,0,7,0,"0","35"
"Streptococcus pneumoniae","Community","Levofloxacin",24,0,24,0,"0","14"
"Salmonella spp.","Community","FLUOROQUINOLONES",2,2,4,50,"15","85"
"Salmonella spp.","Community","Ciprofloxacin",2,2,4,50,"15","85"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",4,0,4,0,"0","49"
"Salmonella spp.","Community","Ceftriaxone",4,0,4,0,"0","49"
"Salmonella spp.","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",154,27,181,15,"10","21"
"Escherichia coli","Community","Amikacin",170,8,178,4,"2","9"
"Escherichia coli","Community","Co-trimoxazole",7,19,26,73,"54","86"
"Escherichia coli","Community","Ampicillin",134,47,181,26,"20","33"
"Escherichia coli","Community","FLUOROQUINOLONES",134,47,181,26,"20","33"
"Escherichia coli","Community","Ciprofloxacin",134,47,181,26,"20","33"
"Escherichia coli","Community","Levofloxacin",1,1,2,50,"9","91"
"Escherichia coli","Community","3GC",148,33,181,18,"13","24"
"Escherichia coli","Community","Cefpodoxime",54,11,65,17,"10","28"
"Escherichia coli","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Cefotaxime",143,32,175,18,"13","25"
"Escherichia coli","Community","Ceftazidime",148,33,181,18,"13","24"
"Escherichia coli","Community","Cefepime",141,35,176,20,"15","26"
"Escherichia coli","Community","CARBAPENEMS",181,0,181,0,"0","2"
"Escherichia coli","Community","Imipenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Meropenem",181,0,181,0,"0","2"
"Escherichia coli","Community","Ertapenem",176,0,176,0,"0","2"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",20,5,25,20,"9","39"
"Klebsiella pneumoniae","Community","Amikacin",24,1,25,4,"1","20"
"Klebsiella pneumoniae","Community","Co-trimoxazole",0,3,3,100,"44","100"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",18,7,25,28,"14","48"
"Klebsiella pneumoniae","Community","Ciprofloxacin",18,7,25,28,"14","48"
"Klebsiella pneumoniae","Community","Levofloxacin",0,1,1,100,"21","100"
"Klebsiella pneumoniae","Community","3GC",19,6,25,24,"11","43"
"Klebsiella pneumoniae","Community","Cefpodoxime",4,3,7,43,"16","75"
"Klebsiella pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Cefotaxime",18,6,24,25,"12","45"
"Klebsiella pneumoniae","Community","Ceftazidime",19,6,25,24,"11","43"
"Klebsiella pneumoniae","Community","Cefepime",19,5,24,21,"9","40"
"Klebsiella pneumoniae","Community","CARBAPENEMS",25,0,25,0,"0","13"
"Klebsiella pneumoniae","Community","Imipenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Meropenem",25,0,25,0,"0","13"
"Klebsiella pneumoniae","Community","Ertapenem",24,0,24,0,"0","14"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",15,2,17,12,"3","34"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",16,1,17,6,"1","27"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",16,1,17,6,"1","27"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",17,0,17,0,"0","18"
"Pseudomonas aeruginosa","Community","Gentamicin",17,0,17,0,"0","18"
"Pseudomonas aeruginosa","Community","Amikacin",17,0,17,0,"0","18"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",17,0,17,0,"0","18"
"Pseudomonas aeruginosa","Community","Imipenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Meropenem",17,0,17,0,"0","18"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",5,0,5,0,"0","43"
