"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",86,4,90,4,"2","11"
"Staphylococcus aureus","Vancomycin",5,0,5,0,"0","43"
"Staphylococcus aureus","Clindamycin",77,13,90,14,"9","23"
"Enterococcus spp.","Ampicillin",32,40,72,56,"44","66"
"Enterococcus spp.","Vancomycin",62,11,73,15,"9","25"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",69,3,72,4,"1","12"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",7,3,10,30,"11","60"
"Streptococcus pneumoniae","Clindamycin",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Levofloxacin",9,0,9,0,"0","30"
"Salmonella spp.","FLUOROQUINOLONES",5,21,26,81,"62","91"
"Salmonella spp.","Ciprofloxacin",1,19,20,95,"76","99"
"Salmonella spp.","Levofloxacin",6,14,20,70,"48","85"
"Salmonella spp.","3GC",20,6,26,23,"11","42"
"Salmonella spp.","Ceftriaxone",20,6,26,23,"11","42"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",20,5,25,20,"9","39"
"Salmonella spp.","CARBAPENEMS",25,0,25,0,"0","13"
"Salmonella spp.","Imipenem",22,0,22,0,"0","15"
"Salmonella spp.","Meropenem",24,0,24,0,"0","14"
"Salmonella spp.","Ertapenem",24,0,24,0,"0","14"
"Salmonella spp.","Doripenem",19,0,19,0,"0","17"
"Escherichia coli","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Amikacin",312,2,314,1,"0","2"
"Escherichia coli","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",115,199,314,63,"58","69"
"Escherichia coli","Ciprofloxacin",134,180,314,57,"52","63"
