"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","50% (1/2)",9,91
"Staphylococcus aureus","MSSA","Community-origin","26% (17/65)",17,38
"Enterococcus spp.","Vancomycin-NS","Community-origin","60% (3/5)",23,88
"Enterococcus spp.","Vancomycin-S","Community-origin","17% (3/18)",6,39
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","7% (1/15)",1,30
"Salmonella spp.","Fluoroquinolone-S","Community-origin","33% (1/3)",6,79
"Escherichia coli","Carbapenem-NS","Community-origin","27% (3/11)",10,57
"Escherichia coli","3GC-NS","Community-origin","21% (15/72)",13,32
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","18% (20/110)",12,26
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","50% (1/2)",9,91
"Klebsiella pneumoniae","3GC-NS","Community-origin","20% (5/25)",9,39
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","28% (13/46)",17,43
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","50% (2/4)",15,85
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","38% (3/8)",14,69
"Acinetobacter spp.","Carbapenem-NS","Community-origin","50% (5/10)",24,76
"Acinetobacter spp.","Carbapenem-S","Community-origin","0% (0/9)",0,30
"Staphylococcus aureus","MRSA","Hospital-origin","50% (1/2)",9,91
"Staphylococcus aureus","MSSA","Hospital-origin","25% (3/12)",9,53
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","67% (4/6)",30,90
"Enterococcus spp.","Vancomycin-S","Hospital-origin","56% (24/43)",41,70
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","0% (0/1)",0,79
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","0% (0/1)",0,79
"Escherichia coli","Carbapenem-NS","Hospital-origin","50% (10/20)",30,70
"Escherichia coli","3GC-NS","Hospital-origin","32% (9/28)",18,51
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","15% (3/20)",5,36
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","31% (12/39)",19,46
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","34% (12/35)",21,51
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","32% (6/19)",15,54
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","44% (4/9)",19,73
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","38% (5/13)",18,64
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","43% (41/95)",34,53
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","20% (3/15)",7,45
