"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",85,4,89,4,"2","11"
"Staphylococcus aureus","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Clindamycin",81,8,89,9,"5","17"
"Enterococcus spp.","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",81,0,81,0,"0","5"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",7,0,7,0,"0","35"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",5,2,7,29,"8","64"
"Streptococcus pneumoniae","3GC",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",8,0,8,0,"0","32"
"Streptococcus pneumoniae","Erythromycin",5,3,8,38,"14","69"
"Streptococcus pneumoniae","Clindamycin",5,3,8,38,"14","69"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",2,15,17,88,"66","97"
"Salmonella spp.","Ciprofloxacin",2,15,17,88,"66","97"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",15,6,21,29,"14","50"
"Salmonella spp.","Ceftriaxone",16,5,21,24,"11","45"
"Salmonella spp.","Cefotaxime",1,1,2,50,"9","91"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Amikacin",157,0,157,0,"0","2"
"Escherichia coli","Co-trimoxazole",5,2,7,29,"8","64"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",80,77,157,49,"41","57"
"Escherichia coli","Ciprofloxacin",83,74,157,47,"39","55"
"Escherichia coli","Levofloxacin",15,19,34,56,"39","71"
"Escherichia coli","3GC",119,38,157,24,"18","31"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
