"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",166
"Acinetobacter baumannii complex",1
"Acinetobacter junii",2
"Acinetobacter lwoffii",10
"Acinetobacter nosocomialis",11
"Acinetobacter pittii",2
"Acinetobacter species",1
"Acinetobacter ursingii",1
"Enterococcus avium",6
"Enterococcus casseliflavus",4
"Enterococcus cecorum",3
"Enterococcus faecalis",71
"Enterococcus faecium",58
"Enterococcus gallinarum",4
"Enterococcus raffinosus",3
"Escherichia coli",278
"Klebsiella pneumoniae",252
"Klebsiella pneumoniae ssp ozaenae",2
"No Growth after 1 day",8
"No Growth after 2 days",25
"No Growth after 5 days",1
"No Growth after 6 days",25008
"No Growth after 7 days",705
"Pseudomonas aeruginosa",82
"Salmonella serogroup B (O:4)",6
"Salmonella serogroup C",13
"Salmonella serogroup D",26
"Salmonella serogroup E",1
"Salmonella serogroup I  (O:16)",1
"Staphylococcus aureus",184
"Staphylococcus aureus_",3
"Streptococcus pneumoniae",13
