"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",0,0,0,244.39226,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,244.39226,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,244.39226,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",1,63.7755102040816,11.25883,360.37272,"Hospital"
"E. coli","3GC-NS E. coli",20,1275.51020408163,827.20164,1961.97653,"Hospital"
"E. coli","Carbapenem-NSE. coli",17,1084.18367346939,678.00708,1729.4532,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",45,2869.89795918367,2151.70228,3818.45828,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",45,2869.89795918367,2151.70228,3818.45828,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",7,446.428571428571,216.41679,918.65054,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",50,3188.77551020408,2427.07945,4179.27759,"Hospital"
