"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",17
"Acinetobacter spp.",1
"Acinetobacter ursingii",1
"Enterococcus cecorum",2
"Enterococcus faecalis",5
"Enterococcus faecium",3
"Enterococcus gallinarum",1
"Escherichia coli",193
"Klebsiella pneumoniae",62
"Pseudomonas aeruginosa",10
"Salmonella choleraesuis",1
"Salmonella paratyphi B",4
"Salmonella spp.",44
"Salmonella typhi",5
"Staphylococcus aureus",94
"Streptococcus pneumoniae(nonmeningitis)",27
