"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"01  8 ??",1
"Acinetobacter spp.",412
"Coag. Posi. Staphylococci_",11
"Coag.Posi. Staphylococci (Inducible Clin",4
"Coagulase Positive Staphylococci",420
"E.coli (ESBL & Carbapenemase producing s",2
"E.coli (ESBLs producing strain)",496
"Enterococcus faecalis",21
"Enterococcus faecium",15
"Enterococcus spp.",149
"Escherichia coli",474
"Escherichia coli(Carbapenemase producing",1
"Kleb.pneumoniae (ESBLs producing strain)",254
"Klebsiella pneumoniae",231
"NG  6 ??",48831
"NG  8 ??",1158
"NG  9 ??",30
"NG 10 ??",10
"Pseudomonas aeruginosa",198
"Salmonella serogroup B",12
"Salmonella serogroup C",49
"Salmonella serogroup D",71
"Salmonella serogroup E",5
"Streptococcus pneumoniae",65
"Streptococcus pneumoniae_",9
