"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",17,413.022351797862,258.03708,660.48027,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",2,48.5908649173955,13.32638,177.00762,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,93.24288,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",6,145.772594752187,66.82548,317.69075,"Hospital"
"E. coli","3GC-NS E. coli",66,1603.49854227405,1262.42057,2034.8291,"Hospital"
"E. coli","Carbapenem-NSE. coli",7,170.068027210884,82.40609,350.65569,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",88,2137.9980563654,1738.68613,2626.5658,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",10,242.954324586978,132.02406,446.6744,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",18,437.31778425656,276.80906,690.25385,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",135,3279.8833819242,2777.83425,3869.05888,"Hospital"
