"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","28% (5/18)",12,51
"Staphylococcus aureus","MSSA","Community-origin","13% (16/124)",8,20
"Enterococcus spp.","Vancomycin-NS","Community-origin","0% (0/1)",0,79
"Enterococcus spp.","Vancomycin-S","Community-origin","12% (7/59)",6,23
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","14% (5/36)",6,29
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","16% (5/31)",7,33
"Salmonella spp.","Fluoroquinolone-S","Community-origin","11% (2/18)",3,33
"Escherichia coli","Carbapenem-NS","Community-origin","50% (1/2)",9,91
"Escherichia coli","3GC-NS","Community-origin","12% (21/171)",8,18
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","13% (29/216)",10,19
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","33% (1/3)",6,79
"Klebsiella pneumoniae","3GC-NS","Community-origin","24% (10/42)",13,39
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","20% (18/92)",13,29
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","33% (1/3)",6,79
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","16% (5/32)",7,32
"Acinetobacter spp.","Carbapenem-NS","Community-origin","33% (6/18)",16,56
"Acinetobacter spp.","Carbapenem-S","Community-origin","27% (12/44)",16,42
"Staphylococcus aureus","MRSA","Hospital-origin","41% (7/17)",22,64
"Staphylococcus aureus","MSSA","Hospital-origin","15% (6/40)",7,29
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","50% (1/2)",9,91
"Enterococcus spp.","Vancomycin-S","Hospital-origin","24% (12/50)",14,37
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","0% (0/4)",0,49
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","40% (2/5)",12,77
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","0% (0/3)",0,56
"Escherichia coli","Carbapenem-NS","Hospital-origin","43% (3/7)",16,75
"Escherichia coli","3GC-NS","Hospital-origin","22% (13/59)",13,34
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","20% (8/40)",10,35
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","30% (3/10)",11,60
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","31% (24/77)",22,42
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","31% (11/36)",18,47
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","44% (8/18)",25,66
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","30% (16/53)",20,44
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","47% (62/131)",39,56
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","22% (8/36)",12,38
