"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",25,0,25,0,"0","13"
"Staphylococcus aureus","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Community","Clindamycin",23,2,25,8,"2","25"
"Enterococcus spp.","Community","Ampicillin",18,3,21,14,"5","35"
"Enterococcus spp.","Community","Vancomycin",21,0,21,0,"0","15"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",11,0,11,0,"0","26"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Community","3GC",10,0,10,0,"0","28"
"Streptococcus pneumoniae","Community","Ceftriaxone",10,0,10,0,"0","28"
"Streptococcus pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Erythromycin",8,3,11,27,"10","57"
"Streptococcus pneumoniae","Community","Clindamycin",8,3,11,27,"10","57"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",4,2,6,33,"10","70"
"Salmonella spp.","Community","Ciprofloxacin",4,2,6,33,"10","70"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",6,0,6,0,"0","39"
"Salmonella spp.","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Cefotaxime",6,0,6,0,"0","39"
"Salmonella spp.","Community","Ceftazidime",6,0,6,0,"0","39"
"Salmonella spp.","Community","CARBAPENEMS",6,0,6,0,"0","39"
"Salmonella spp.","Community","Imipenem",5,0,5,0,"0","43"
"Salmonella spp.","Community","Meropenem",6,0,6,0,"0","39"
"Salmonella spp.","Community","Ertapenem",6,0,6,0,"0","39"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",71,29,100,29,"21","39"
"Escherichia coli","Community","Amikacin",106,0,106,0,"0","3"
"Escherichia coli","Community","Co-trimoxazole",33,73,106,69,"60","77"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",58,48,106,45,"36","55"
"Escherichia coli","Community","Ciprofloxacin",58,48,106,45,"36","55"
"Escherichia coli","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","3GC",70,37,107,35,"26","44"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Cefotaxime",70,37,107,35,"26","44"
"Escherichia coli","Community","Ceftazidime",72,35,107,33,"25","42"
"Escherichia coli","Community","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","CARBAPENEMS",106,1,107,1,"0","5"
"Escherichia coli","Community","Imipenem",82,0,82,0,"0","4"
"Escherichia coli","Community","Meropenem",107,0,107,0,"0","3"
"Escherichia coli","Community","Ertapenem",105,1,106,1,"0","5"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",26,4,30,13,"5","30"
"Klebsiella pneumoniae","Community","Amikacin",29,1,30,3,"1","17"
"Klebsiella pneumoniae","Community","Co-trimoxazole",22,8,30,27,"14","44"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",20,10,30,33,"19","51"
"Klebsiella pneumoniae","Community","Ciprofloxacin",20,10,30,33,"19","51"
"Klebsiella pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","3GC",22,8,30,27,"14","44"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Cefotaxime",22,8,30,27,"14","44"
"Klebsiella pneumoniae","Community","Ceftazidime",22,8,30,27,"14","44"
"Klebsiella pneumoniae","Community","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","CARBAPENEMS",30,0,30,0,"0","11"
"Klebsiella pneumoniae","Community","Imipenem",20,0,20,0,"0","16"
"Klebsiella pneumoniae","Community","Meropenem",30,0,30,0,"0","11"
"Klebsiella pneumoniae","Community","Ertapenem",30,0,30,0,"0","11"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",3,0,3,0,"0","56"
