"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",8,0,8,0,"0","32"
"Staphylococcus aureus","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Community","Clindamycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Oxacillin",0,7,7,100,"65","100"
"Streptococcus pneumoniae","Community","Co-trimoxazole",0,7,7,100,"65","100"
"Streptococcus pneumoniae","Community","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Erythromycin",3,4,7,57,"25","84"
"Streptococcus pneumoniae","Community","Clindamycin",4,3,7,43,"16","75"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",1,3,4,75,"30","95"
"Salmonella spp.","Community","Ciprofloxacin",1,3,4,75,"30","95"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",3,1,4,25,"5","70"
"Salmonella spp.","Community","Ceftriaxone",3,1,4,25,"5","70"
"Salmonella spp.","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ceftazidime",0,0,0,NA,"NA","NA"
