"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",1,558.659217877095,98.68524,3096.13658,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,2100.978,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,2100.978,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",2,1117.31843575419,306.94571,3981.71993,"Hospital"
"E. coli","3GC-NS E. coli",4,2234.63687150838,872.35744,5603.99584,"Hospital"
"E. coli","Carbapenem-NSE. coli",0,0,0,2100.978,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",3,1675.97765363128,571.59312,4810.91634,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",0,0,0,2100.978,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",1,558.659217877095,98.68524,3096.13658,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",0,0,0,2100.978,"Hospital"
