"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",30,2,32,6,"2","20"
"Staphylococcus aureus","Vancomycin",34,0,34,0,"0","10"
"Staphylococcus aureus","Clindamycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Ampicillin",7,2,9,22,"6","55"
"Enterococcus spp.","Vancomycin",10,0,10,0,"0","28"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",1,2,3,67,"21","94"
"Streptococcus pneumoniae","3GC",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Ceftriaxone",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Cefotaxime",3,0,3,0,"0","56"
"Streptococcus pneumoniae","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",10,0,10,0,"0","28"
"Salmonella spp.","Ceftriaxone",10,0,10,0,"0","28"
"Salmonella spp.","Cefotaxime",10,0,10,0,"0","28"
"Salmonella spp.","Ceftazidime",8,0,8,0,"0","32"
"Salmonella spp.","CARBAPENEMS",10,0,10,0,"0","28"
"Salmonella spp.","Imipenem",10,0,10,0,"0","28"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Escherichia coli","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",103,55,158,35,"28","43"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",106,52,158,33,"26","41"
"Escherichia coli","Cefotaxime",115,43,158,27,"21","35"
"Escherichia coli","Ceftazidime",125,33,158,21,"15","28"
"Escherichia coli","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","CARBAPENEMS",155,3,158,2,"1","5"
"Escherichia coli","Imipenem",155,3,158,2,"1","5"
"Escherichia coli","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","3GC",47,17,64,27,"17","38"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",48,16,64,25,"16","37"
"Klebsiella pneumoniae","Cefotaxime",52,12,64,19,"11","30"
"Klebsiella pneumoniae","Ceftazidime",50,14,64,22,"14","33"
"Klebsiella pneumoniae","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","CARBAPENEMS",61,3,64,5,"2","13"
"Klebsiella pneumoniae","Imipenem",61,3,64,5,"2","13"
"Klebsiella pneumoniae","Meropenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",9,0,9,0,"0","30"
"Pseudomonas aeruginosa","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",8,1,9,11,"2","43"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","CARBAPENEMS",7,2,9,22,"6","55"
"Pseudomonas aeruginosa","Imipenem",7,2,9,22,"6","55"
"Pseudomonas aeruginosa","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","CARBAPENEMS",18,4,22,18,"7","39"
"Acinetobacter spp.","Imipenem",18,4,22,18,"7","39"
"Acinetobacter spp.","Meropenem",1,0,1,0,"0","79"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
