"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",16
"Acinetobacter haemolyticus",1
"Acinetobacter junii",1
"Acinetobacter lwoffii",5
"Acinetobacter sp.",1
"Enterococcus faecalis",3
"Enterococcus faecium",2
"Enterococcus raffinosus",1
"Enterococcus sp.",5
"Escherichia coli",169
"Klebsiella pneumoniae ss. pneumoniae",70
"No growth",78
"Pseudomonas aeruginosa",10
"Salmonella Group D (D1, D2, D3)",2
"Salmonella sp.",9
"Staphylococcus aureus ss. aureus",37
"Streptococcus pneumoniae",3
