"Organism","AMR_str","Origin_of_infection","Gender","Age_group","count"
"organism_salmonella_spp",NA,0,"male","35 to 44 years",1
"organism_salmonella_spp",NA,0,"male","55 to 64 years",1
"organism_salmonella_spp",NA,0,"male","65 to 80 years",1
"organism_salmonella_spp",NA,0,"female","35 to 44 years",1
"organism_salmonella_spp",NA,0,"female","over 80 years",1
"organism_salmonella_spp",NA,1,"male","1 to 4 years",1
"organism_salmonella_spp",NA,1,"male","25 to 34 years",1
"organism_salmonella_spp",NA,1,"male","45 to 54 years",1
"organism_salmonella_spp",NA,1,"male","55 to 64 years",1
"organism_salmonella_spp",NA,1,"female","1 to 4 years",1
