"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",51
"Acinetobacter lwoffii",10
"Enterococcus faecalis",77
"Enterococcus faecium",5
"Escherichia coli",473
"Klebsiella pneumoniae",124
"Pseudomonas aeruginosa",9
"Salmonella serogroup B",5
"Salmonella serogroup B (O:4)",2
"Salmonella serogroup C",2
"Salmonella serogroup D",20
"Salmonella serogroup E",2
"Salmonella sp.(not Serogroup A-I)",1
"Salmonella species",3
"Staphylococcus aureus",182
"Streptococcus pneumoniae",23
"Streptococcus pneumoniae_",3
