"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",36,0,36,0,"0","10"
"Staphylococcus aureus","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Community","Clindamycin",33,3,36,8,"3","22"
"Enterococcus spp.","Community","Ampicillin",17,3,20,15,"5","36"
"Enterococcus spp.","Community","Vancomycin",20,0,20,0,"0","16"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",13,0,13,0,"0","23"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Community","3GC",12,0,12,0,"0","24"
"Streptococcus pneumoniae","Community","Ceftriaxone",12,0,12,0,"0","24"
"Streptococcus pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Erythromycin",9,4,13,31,"13","58"
"Streptococcus pneumoniae","Community","Clindamycin",10,3,13,23,"8","50"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",7,3,10,30,"11","60"
"Salmonella spp.","Community","Ciprofloxacin",7,3,10,30,"11","60"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",10,0,10,0,"0","28"
"Salmonella spp.","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Cefotaxime",10,0,10,0,"0","28"
"Salmonella spp.","Community","Ceftazidime",10,0,10,0,"0","28"
"Salmonella spp.","Community","CARBAPENEMS",10,0,10,0,"0","28"
"Salmonella spp.","Community","Imipenem",9,0,9,0,"0","30"
"Salmonella spp.","Community","Meropenem",10,0,10,0,"0","28"
"Salmonella spp.","Community","Ertapenem",10,0,10,0,"0","28"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",105,38,143,27,"20","34"
"Escherichia coli","Community","Amikacin",151,0,151,0,"0","2"
"Escherichia coli","Community","Co-trimoxazole",53,98,151,65,"57","72"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",87,64,151,42,"35","50"
"Escherichia coli","Community","Ciprofloxacin",87,64,151,42,"35","50"
"Escherichia coli","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","3GC",109,42,151,28,"21","35"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
