"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","NA",0,0
"Staphylococcus aureus","MSSA","Community-origin","28% (10/36)",16,44
"Enterococcus spp.","Vancomycin-NS","Community-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Community-origin","30% (6/20)",15,52
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","31% (4/13)",13,58
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","33% (1/3)",6,79
"Salmonella spp.","Fluoroquinolone-S","Community-origin","14% (1/7)",3,51
"Escherichia coli","Carbapenem-NS","Community-origin","0% (0/1)",0,79
"Escherichia coli","3GC-NS","Community-origin","17% (7/41)",9,31
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","12% (13/109)",7,19
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Community-origin","20% (2/10)",6,51
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","24% (6/25)",11,43
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","0% (0/1)",0,79
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","0% (0/4)",0,49
"Acinetobacter spp.","Carbapenem-NS","Community-origin","0% (0/2)",0,66
"Acinetobacter spp.","Carbapenem-S","Community-origin","28% (5/18)",12,51
"Staphylococcus aureus","MRSA","Hospital-origin","0% (0/1)",0,79
"Staphylococcus aureus","MSSA","Hospital-origin","38% (3/8)",14,69
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Hospital-origin","29% (2/7)",8,64
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","100% (1/1)",21,100
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","NA",0,0
"Escherichia coli","Carbapenem-NS","Hospital-origin","100% (1/1)",21,100
"Escherichia coli","3GC-NS","Hospital-origin","75% (6/8)",41,93
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","50% (2/4)",15,85
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","NA",0,0
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","33% (1/3)",6,79
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","60% (3/5)",23,88
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","NA",0,0
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","0% (0/2)",0,66
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","67% (4/6)",30,90
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","50% (6/12)",25,75
