"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",0,0,0,645.79541,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,645.79541,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,645.79541,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",0,0,0,645.79541,"Hospital"
"E. coli","3GC-NS E. coli",4,676.818950930626,263.50726,1727.18432,"Hospital"
"E. coli","Carbapenem-NSE. coli",0,0,0,645.79541,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",8,1353.63790186125,687.47047,2648.11728,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",3,507.614213197969,172.78167,1481.68587,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",1,169.204737732656,29.87504,952.14441,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",3,507.614213197969,172.78167,1481.68587,"Hospital"
