"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",6,13,19,68,"46","85"
"Staphylococcus aureus","Vancomycin",17,1,18,6,"1","26"
"Staphylococcus aureus","Clindamycin",8,11,19,58,"36","77"
"Enterococcus spp.","Ampicillin",3,6,9,67,"35","88"
"Enterococcus spp.","Vancomycin",9,0,9,0,"0","30"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",8,1,9,11,"2","43"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",1,2,3,67,"21","94"
"Salmonella spp.","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Levofloxacin",1,2,3,67,"21","94"
"Salmonella spp.","3GC",2,1,3,33,"6","79"
"Salmonella spp.","Ceftriaxone",2,1,3,33,"6","79"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",3,0,3,0,"0","56"
"Salmonella spp.","Imipenem",3,0,3,0,"0","56"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",3,0,3,0,"0","56"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",24,21,45,47,"33","61"
"Escherichia coli","Amikacin",31,11,42,26,"15","41"
"Escherichia coli","Co-trimoxazole",9,27,36,75,"59","86"
"Escherichia coli","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","FLUOROQUINOLONES",16,30,46,65,"51","77"
"Escherichia coli","Ciprofloxacin",3,2,5,40,"12","77"
"Escherichia coli","Levofloxacin",14,28,42,67,"52","79"
"Escherichia coli","3GC",7,39,46,85,"72","92"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",6,30,36,83,"68","92"
"Escherichia coli","Cefotaxime",2,9,11,82,"52","95"
"Escherichia coli","Ceftazidime",0,1,1,100,"21","100"
"Escherichia coli","Cefepime",6,30,36,83,"68","92"
"Escherichia coli","CARBAPENEMS",25,21,46,46,"32","60"
"Escherichia coli","Imipenem",29,17,46,37,"25","51"
"Escherichia coli","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Ertapenem",18,17,35,49,"33","64"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",31,17,48,35,"23","50"
"Klebsiella pneumoniae","Amikacin",31,14,45,31,"20","46"
"Klebsiella pneumoniae","Co-trimoxazole",11,23,34,68,"51","81"
"Klebsiella pneumoniae","FLUOROQUINOLONES",18,30,48,62,"48","75"
"Klebsiella pneumoniae","Ciprofloxacin",0,3,3,100,"44","100"
"Klebsiella pneumoniae","Levofloxacin",18,28,46,61,"46","74"
"Klebsiella pneumoniae","3GC",10,38,48,79,"66","88"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",9,27,36,75,"59","86"
"Klebsiella pneumoniae","Cefotaxime",1,13,14,93,"69","99"
"Klebsiella pneumoniae","Ceftazidime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Cefepime",11,23,34,68,"51","81"
"Klebsiella pneumoniae","CARBAPENEMS",34,14,48,29,"18","43"
"Klebsiella pneumoniae","Imipenem",36,12,48,25,"15","39"
"Klebsiella pneumoniae","Meropenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Ertapenem",22,12,34,35,"21","52"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",2,2,4,50,"15","85"
"Pseudomonas aeruginosa","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",10,3,13,23,"8","50"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",10,3,13,23,"8","50"
"Pseudomonas aeruginosa","Gentamicin",10,3,13,23,"8","50"
"Pseudomonas aeruginosa","Amikacin",12,1,13,8,"1","33"
"Pseudomonas aeruginosa","CARBAPENEMS",9,4,13,31,"13","58"
"Pseudomonas aeruginosa","Imipenem",9,4,13,31,"13","58"
"Pseudomonas aeruginosa","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",3,5,8,62,"31","86"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",5,1,6,17,"3","56"
"Acinetobacter spp.","AMINOGLYCOSIDES",5,4,9,44,"19","73"
"Acinetobacter spp.","Gentamicin",5,3,8,38,"14","69"
"Acinetobacter spp.","Amikacin",5,1,6,17,"3","56"
"Acinetobacter spp.","CARBAPENEMS",5,4,9,44,"19","73"
"Acinetobacter spp.","Imipenem",5,4,9,44,"19","73"
"Acinetobacter spp.","Meropenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",6,0,6,0,"0","39"
