"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",4,564.174894217207,219.60884,1441.55419,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,538.89386,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,538.89386,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",0,0,0,538.89386,"Hospital"
"E. coli","3GC-NS E. coli",22,3102.96191819464,2057.93895,4653.4354,"Hospital"
"E. coli","Carbapenem-NSE. coli",14,1974.61212976023,1179.8171,3287.01889,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",29,4090.26798307475,2862.79276,5812.55266,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",11,1551.48095909732,868.49193,2756.64217,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",3,423.131170662906,144.00491,1236.59083,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",1,141.043723554302,24.90202,794.55913,"Hospital"
