"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",31,19,50,38,"26","52"
"Staphylococcus aureus","Vancomycin",9,0,9,0,"0","30"
"Staphylococcus aureus","Clindamycin",25,24,49,49,"36","63"
"Enterococcus spp.","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Oxacillin",6,2,8,25,"7","59"
"Streptococcus pneumoniae","Co-trimoxazole",5,10,15,67,"42","85"
"Streptococcus pneumoniae","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",7,7,14,50,"27","73"
"Streptococcus pneumoniae","Clindamycin",12,1,13,8,"1","33"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",33,304,337,90,"87","93"
"Salmonella spp.","Ciprofloxacin",33,304,337,90,"87","93"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",331,3,334,1,"0","3"
"Salmonella spp.","Ceftriaxone",115,0,115,0,"0","3"
"Salmonella spp.","Cefotaxime",216,3,219,1,"0","4"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",47,10,57,18,"10","29"
"Escherichia coli","Amikacin",47,11,58,19,"11","31"
"Escherichia coli","Co-trimoxazole",22,42,64,66,"53","76"
"Escherichia coli","Ampicillin",17,47,64,73,"62","83"
"Escherichia coli","FLUOROQUINOLONES",33,32,65,49,"37","61"
"Escherichia coli","Ciprofloxacin",33,32,65,49,"37","61"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",35,30,65,46,"35","58"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",12,11,23,48,"29","67"
"Escherichia coli","Cefotaxime",23,19,42,45,"31","60"
"Escherichia coli","Ceftazidime",0,4,4,100,"51","100"
"Escherichia coli","Cefepime",4,11,15,73,"48","89"
"Escherichia coli","CARBAPENEMS",25,5,30,17,"7","34"
"Escherichia coli","Imipenem",10,4,14,29,"12","55"
"Escherichia coli","Meropenem",25,5,30,17,"7","34"
"Escherichia coli","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",15,7,22,32,"16","53"
"Klebsiella pneumoniae","Amikacin",14,9,23,39,"22","59"
"Klebsiella pneumoniae","Co-trimoxazole",11,12,23,52,"33","71"
"Klebsiella pneumoniae","FLUOROQUINOLONES",9,14,23,61,"41","78"
"Klebsiella pneumoniae","Ciprofloxacin",9,14,23,61,"41","78"
"Klebsiella pneumoniae","Levofloxacin",0,1,1,100,"21","100"
"Klebsiella pneumoniae","3GC",8,14,22,64,"43","80"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",4,4,8,50,"22","78"
"Klebsiella pneumoniae","Cefotaxime",4,10,14,71,"45","88"
"Klebsiella pneumoniae","Ceftazidime",0,4,4,100,"51","100"
"Klebsiella pneumoniae","Cefepime",3,9,12,75,"47","91"
"Klebsiella pneumoniae","CARBAPENEMS",6,7,13,54,"29","77"
"Klebsiella pneumoniae","Imipenem",6,6,12,50,"25","75"
"Klebsiella pneumoniae","Meropenem",6,7,13,54,"29","77"
"Klebsiella pneumoniae","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",0,3,3,100,"44","100"
"Pseudomonas aeruginosa","Ciprofloxacin",1,1,2,50,"9","91"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",1,2,3,67,"21","94"
"Pseudomonas aeruginosa","Gentamicin",1,2,3,67,"21","94"
"Pseudomonas aeruginosa","Amikacin",1,2,3,67,"21","94"
