"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",25,0,25,0,"0","13"
"Staphylococcus aureus","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Community","Clindamycin",25,0,25,0,"0","13"
"Enterococcus spp.","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",5,1,6,17,"3","56"
"Streptococcus pneumoniae","Community","3GC",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Ceftriaxone",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Cefotaxime",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Erythromycin",4,2,6,33,"10","70"
"Streptococcus pneumoniae","Community","Clindamycin",4,2,6,33,"10","70"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",2,1,3,33,"6","79"
"Salmonella spp.","Community","Ciprofloxacin",2,0,2,0,"0","66"
"Salmonella spp.","Community","Levofloxacin",0,1,1,100,"21","100"
"Salmonella spp.","Community","3GC",5,0,5,0,"0","43"
"Salmonella spp.","Community","Ceftriaxone",5,0,5,0,"0","43"
"Salmonella spp.","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ceftazidime",3,0,3,0,"0","56"
"Salmonella spp.","Community","CARBAPENEMS",2,0,2,0,"0","66"
"Salmonella spp.","Community","Imipenem",2,0,2,0,"0","66"
"Salmonella spp.","Community","Meropenem",1,0,1,0,"0","79"
"Salmonella spp.","Community","Ertapenem",2,0,2,0,"0","66"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",71,13,84,15,"9","25"
"Escherichia coli","Community","Amikacin",105,0,105,0,"0","4"
"Escherichia coli","Community","Co-trimoxazole",56,28,84,33,"24","44"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",48,57,105,54,"45","63"
"Escherichia coli","Community","Ciprofloxacin",49,56,105,53,"44","63"
"Escherichia coli","Community","Levofloxacin",1,8,9,89,"57","98"
"Escherichia coli","Community","3GC",76,29,105,28,"20","37"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",76,29,105,28,"20","37"
"Escherichia coli","Community","Cefotaxime",2,2,4,50,"15","85"
"Escherichia coli","Community","Ceftazidime",19,5,24,21,"9","40"
"Escherichia coli","Community","Cefepime",93,1,94,1,"0","6"
"Escherichia coli","Community","CARBAPENEMS",105,0,105,0,"0","4"
"Escherichia coli","Community","Imipenem",105,0,105,0,"0","4"
"Escherichia coli","Community","Meropenem",104,0,104,0,"0","4"
"Escherichia coli","Community","Ertapenem",104,0,104,0,"0","4"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",45,3,48,6,"2","17"
"Klebsiella pneumoniae","Community","Amikacin",48,1,49,2,"0","11"
"Klebsiella pneumoniae","Community","Co-trimoxazole",34,14,48,29,"18","43"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",30,19,49,39,"26","53"
"Klebsiella pneumoniae","Community","Ciprofloxacin",30,19,49,39,"26","53"
"Klebsiella pneumoniae","Community","Levofloxacin",0,1,1,100,"21","100"
"Klebsiella pneumoniae","Community","3GC",30,19,49,39,"26","53"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",30,19,49,39,"26","53"
"Klebsiella pneumoniae","Community","Cefotaxime",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Community","Ceftazidime",1,2,3,67,"21","94"
"Klebsiella pneumoniae","Community","Cefepime",32,13,45,29,"18","43"
"Klebsiella pneumoniae","Community","CARBAPENEMS",45,4,49,8,"3","19"
"Klebsiella pneumoniae","Community","Imipenem",45,4,49,8,"3","19"
"Klebsiella pneumoniae","Community","Meropenem",45,4,49,8,"3","19"
"Klebsiella pneumoniae","Community","Ertapenem",45,4,49,8,"3","19"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",4,3,7,43,"16","75"
