"Organism","Antibiotic","Infection_origin","Mortality","Mortality_lower_95ci","Mortality_upper_95ci"
"Staphylococcus aureus","MRSA","Community-origin","NA",0,0
"Staphylococcus aureus","MSSA","Community-origin","16% (4/25)",6,35
"Enterococcus spp.","Vancomycin-NS","Community-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-NS","Community-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Community-origin","0% (0/6)",0,39
"Salmonella spp.","Fluoroquinolone-NS","Community-origin","100% (1/1)",21,100
"Salmonella spp.","Fluoroquinolone-S","Community-origin","0% (0/2)",0,66
"Escherichia coli","Carbapenem-NS","Community-origin","NA",0,0
"Escherichia coli","3GC-NS","Community-origin","7% (2/29)",2,22
"Escherichia coli","Carbapenem-S
and 3GC-S","Community-origin","9% (7/76)",5,18
"Klebsiella pneumoniae","Carbapenem-NS","Community-origin","25% (1/4)",5,70
"Klebsiella pneumoniae","3GC-NS","Community-origin","20% (3/15)",7,45
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Community-origin","13% (4/30)",5,30
"Pseudomonas aeruginosa","Carbapenem-NS","Community-origin","33% (1/3)",6,79
"Pseudomonas aeruginosa","Carbapenem-S","Community-origin","0% (0/4)",0,49
"Acinetobacter spp.","Carbapenem-NS","Community-origin","100% (2/2)",34,100
"Acinetobacter spp.","Carbapenem-S","Community-origin","36% (4/11)",15,65
"Staphylococcus aureus","MRSA","Hospital-origin","50% (1/2)",9,91
"Staphylococcus aureus","MSSA","Hospital-origin","12% (1/8)",2,47
"Enterococcus spp.","Vancomycin-NS","Hospital-origin","NA",0,0
"Enterococcus spp.","Vancomycin-S","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-NS","Hospital-origin","NA",0,0
"Streptococcus pneumoniae","Penicillin-S","Hospital-origin","50% (1/2)",9,91
"Salmonella spp.","Fluoroquinolone-NS","Hospital-origin","NA",0,0
"Salmonella spp.","Fluoroquinolone-S","Hospital-origin","NA",0,0
"Escherichia coli","Carbapenem-NS","Hospital-origin","0% (0/1)",0,79
"Escherichia coli","3GC-NS","Hospital-origin","25% (1/4)",5,70
"Escherichia coli","Carbapenem-S
and 3GC-S","Hospital-origin","50% (2/4)",15,85
"Klebsiella pneumoniae","Carbapenem-NS","Hospital-origin","20% (1/5)",4,62
"Klebsiella pneumoniae","3GC-NS","Hospital-origin","75% (3/4)",30,95
"Klebsiella pneumoniae","Carbapenem-S
and 3GC-S","Hospital-origin","25% (1/4)",5,70
"Pseudomonas aeruginosa","Carbapenem-NS","Hospital-origin","33% (1/3)",6,79
"Pseudomonas aeruginosa","Carbapenem-S","Hospital-origin","0% (0/2)",0,66
"Acinetobacter spp.","Carbapenem-NS","Hospital-origin","55% (6/11)",28,79
"Acinetobacter spp.","Carbapenem-S","Hospital-origin","10% (1/10)",2,40
