"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_escherichia_coli","3GCNS−carb−NS",1,"male","over 80 years",1
"organism_escherichia_coli","3GCNS−carb−S",0,"male","45 to 54 years",2
"organism_escherichia_coli","3GCNS−carb−S",0,"male","55 to 64 years",2
"organism_escherichia_coli","3GCNS−carb−S",0,"male","65 to 80 years",4
"organism_escherichia_coli","3GCNS−carb−S",0,"male","over 80 years",4
"organism_escherichia_coli","3GCNS−carb−S",0,"female","45 to 54 years",1
"organism_escherichia_coli","3GCNS−carb−S",0,"female","55 to 64 years",3
"organism_escherichia_coli","3GCNS−carb−S",0,"female","65 to 80 years",11
"organism_escherichia_coli","3GCNS−carb−S",0,"female","Less than 1",1
"organism_escherichia_coli","3GCNS−carb−S",0,"female","over 80 years",1
"organism_escherichia_coli","3GCNS−carb−S",1,"male","55 to 64 years",1
"organism_escherichia_coli","3GCNS−carb−S",1,"male","65 to 80 years",2
"organism_escherichia_coli","3GCNS−carb−S",1,"female","65 to 80 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"male","45 to 54 years",3
"organism_escherichia_coli","3GCS−carb−S",0,"male","55 to 64 years",5
"organism_escherichia_coli","3GCS−carb−S",0,"male","65 to 80 years",16
"organism_escherichia_coli","3GCS−carb−S",0,"male","over 80 years",6
"organism_escherichia_coli","3GCS−carb−S",0,"female","15 to 24 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","25 to 34 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","35 to 44 years",2
"organism_escherichia_coli","3GCS−carb−S",0,"female","45 to 54 years",2
"organism_escherichia_coli","3GCS−carb−S",0,"female","55 to 64 years",10
"organism_escherichia_coli","3GCS−carb−S",0,"female","65 to 80 years",16
"organism_escherichia_coli","3GCS−carb−S",0,"female","Less than 1",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","over 80 years",13
"organism_escherichia_coli","3GCS−carb−S",1,"female","65 to 80 years",4
