"Organism","Number_of_blood_specimens_culture_positive_for_the_organism"
"Acinetobacter baumannii",156
"Acinetobacter baumannii complex",35
"Acinetobacter johnsonii",2
"Acinetobacter junii",9
"Acinetobacter lwoffii",6
"Acinetobacter nosocomialis",19
"Acinetobacter pittii",12
"Acinetobacter radioresistens",1
"Acinetobacter schindleri",1
"Acinetobacter seifertii",3
"Enterococcus avium",1
"Enterococcus casseliflavus",2
"Enterococcus faecalis",46
"Enterococcus faecium",64
"Enterococcus gallinarum",3
"Enterococcus hirae",1
"Escherichia coli",551
"Klebsiella pneumoniae",339
"Klebsiella pneumoniae ssp ozaenae",2
"No Growht after 30 days",450
"No growth after 3 days",1
"No growth after 5 days",24844
"No growth after 5 days..",20
"No growth after 6 days",1
"No growth after 7 days",605
"Pseudomonas aeruginosa",84
"Salmonella enterica ssp enterica",1
"Salmonella group B",2
"Salmonella group C",7
"Salmonella group D",33
"Salmonella group E",4
"Staphylococcus aureus",213
"Streptococcus pneumoniae",16
