"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",65,2,67,3,"1","10"
"Staphylococcus aureus","Community","Vancomycin",3,0,3,0,"0","56"
"Staphylococcus aureus","Community","Clindamycin",61,6,67,9,"4","18"
"Enterococcus spp.","Community","Ampicillin",15,7,22,32,"16","53"
"Enterococcus spp.","Community","Vancomycin",18,5,23,22,"10","42"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",22,1,23,4,"1","21"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Erythromycin",7,3,10,30,"11","60"
"Streptococcus pneumoniae","Community","Clindamycin",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Community","Levofloxacin",9,0,9,0,"0","30"
"Salmonella spp.","Community","FLUOROQUINOLONES",3,15,18,83,"61","94"
"Salmonella spp.","Community","Ciprofloxacin",0,14,14,100,"78","100"
"Salmonella spp.","Community","Levofloxacin",5,13,18,72,"49","88"
"Salmonella spp.","Community","3GC",15,3,18,17,"6","39"
"Salmonella spp.","Community","Ceftriaxone",15,3,18,17,"6","39"
"Salmonella spp.","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ceftazidime",15,3,18,17,"6","39"
"Salmonella spp.","Community","CARBAPENEMS",18,0,18,0,"0","18"
"Salmonella spp.","Community","Imipenem",18,0,18,0,"0","18"
"Salmonella spp.","Community","Meropenem",18,0,18,0,"0","18"
"Salmonella spp.","Community","Ertapenem",18,0,18,0,"0","18"
"Salmonella spp.","Community","Doripenem",16,0,16,0,"0","19"
"Escherichia coli","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Amikacin",192,1,193,1,"0","3"
"Escherichia coli","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",72,121,193,63,"56","69"
"Escherichia coli","Community","Ciprofloxacin",88,105,193,54,"47","61"
"Escherichia coli","Community","Levofloxacin",70,119,189,63,"56","70"
"Escherichia coli","Community","3GC",110,83,193,43,"36","50"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",110,82,192,43,"36","50"
"Escherichia coli","Community","Cefotaxime",0,1,1,100,"21","100"
"Escherichia coli","Community","Ceftazidime",125,65,190,34,"28","41"
"Escherichia coli","Community","Cefepime",130,52,182,29,"23","36"
"Escherichia coli","Community","CARBAPENEMS",182,11,193,6,"3","10"
"Escherichia coli","Community","Imipenem",181,10,191,5,"3","9"
"Escherichia coli","Community","Meropenem",184,9,193,5,"2","9"
"Escherichia coli","Community","Ertapenem",182,11,193,6,"3","10"
"Escherichia coli","Community","Doripenem",179,10,189,5,"3","9"
"Escherichia coli","Community","Colistin",0,70,70,100,"95","100"
"Klebsiella pneumoniae","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Amikacin",73,0,73,0,"0","5"
"Klebsiella pneumoniae","Community","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",43,30,73,41,"31","53"
"Klebsiella pneumoniae","Community","Ciprofloxacin",45,28,73,38,"28","50"
"Klebsiella pneumoniae","Community","Levofloxacin",43,30,73,41,"31","53"
"Klebsiella pneumoniae","Community","3GC",46,27,73,37,"27","48"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",47,26,73,36,"26","47"
"Klebsiella pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftazidime",48,25,73,34,"24","46"
"Klebsiella pneumoniae","Community","Cefepime",53,19,72,26,"18","38"
"Klebsiella pneumoniae","Community","CARBAPENEMS",71,2,73,3,"1","9"
"Klebsiella pneumoniae","Community","Imipenem",71,2,73,3,"1","9"
"Klebsiella pneumoniae","Community","Meropenem",71,2,73,3,"1","9"
"Klebsiella pneumoniae","Community","Ertapenem",71,2,73,3,"1","9"
"Klebsiella pneumoniae","Community","Doripenem",70,2,72,3,"1","10"
"Klebsiella pneumoniae","Community","Colistin",0,20,20,100,"84","100"
"Pseudomonas aeruginosa","Community","Ceftazidime",9,3,12,25,"9","53"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",10,2,12,17,"5","45"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",12,0,12,0,"0","24"
"Pseudomonas aeruginosa","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Amikacin",12,0,12,0,"0","24"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",8,4,12,33,"14","61"
"Pseudomonas aeruginosa","Community","Imipenem",8,4,12,33,"14","61"
"Pseudomonas aeruginosa","Community","Meropenem",9,3,12,25,"9","53"
"Pseudomonas aeruginosa","Community","Doripenem",9,3,12,25,"9","53"
"Pseudomonas aeruginosa","Community","Colistin",0,4,4,100,"51","100"
"Acinetobacter spp.","Community","Tigecycline",8,0,8,0,"0","32"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",6,0,6,0,"0","39"
"Acinetobacter spp.","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Amikacin",6,0,6,0,"0","39"
"Acinetobacter spp.","Community","CARBAPENEMS",9,10,19,53,"32","73"
"Acinetobacter spp.","Community","Imipenem",11,7,18,39,"20","61"
