"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",2,29.0782204129107,7.97466,105.96954,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",5,72.6955510322768,31.05507,170.0751,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,55.82022,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",15,218.08665309683,132.21198,359.53807,"Community"
"E. coli","3GC-NS E. coli",83,1206.7461471358,974.5799,1493.38539,"Community"
"E. coli","Carbapenem-NSE. coli",11,159.930212271009,89.32818,286.17391,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",27,392.555975574295,269.93618,570.55774,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",2,29.0782204129107,7.97466,105.96954,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",4,58.1564408258215,22.61816,149.45002,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",10,145.391102064554,78.99472,267.44539,"Community"
