"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",2,95.2834683182468,26.13405,346.76419,"Hospital"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",6,285.85040495474,131.07163,622.26423,"Hospital"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,182.67943,"Hospital"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",1,47.6417341591234,8.41043,269.37841,"Hospital"
"E. coli","3GC-NS E. coli",48,2286.80323963792,1729.14298,3018.78789,"Hospital"
"E. coli","Carbapenem-NSE. coli",20,952.834683182468,617.65999,1467.20754,"Hospital"
"K. pneumoniae","3GC-NS K. pneumoniae",74,3525.48832777513,2817.5846,4403.1908,"Hospital"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",39,1858.02763220581,1362.14843,2529.79779,"Hospital"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",9,428.775607432111,225.74543,812.91865,"Hospital"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",95,4525.96474511672,3716.69074,5501.38217,"Hospital"
