"Organism","AMR_str","Origin_of_infection","Gender","Age_group","count"
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","25 to 34 years",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","35 to 44 years",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","45 to 54 years",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","65 to 80 years",2
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","over 80 years",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"male","Unknown",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"female","35 to 44 years",1
"organism_acinetobacter_spp","Carbapenem-NS",0,"female","65 to 80 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","1 to 4 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","15 to 24 years",1
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","25 to 34 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","35 to 44 years",7
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","45 to 54 years",9
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","5 to 14 years",3
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","55 to 64 years",12
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","65 to 80 years",12
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","Less than 1",1
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","over 80 years",3
"organism_acinetobacter_spp","Carbapenem-NS",1,"male","Unknown",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","15 to 24 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","25 to 34 years",1
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","35 to 44 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","45 to 54 years",9
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","5 to 14 years",1
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","55 to 64 years",4
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","65 to 80 years",11
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","Less than 1",3
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","over 80 years",2
"organism_acinetobacter_spp","Carbapenem-NS",1,"female","Unknown",6
"organism_acinetobacter_spp","Carbapenem-S",0,"male","1 to 4 years",1
"organism_acinetobacter_spp","Carbapenem-S",0,"male","55 to 64 years",2
"organism_acinetobacter_spp","Carbapenem-S",0,"male","65 to 80 years",1
"organism_acinetobacter_spp","Carbapenem-S",0,"male","over 80 years",1
"organism_acinetobacter_spp","Carbapenem-S",0,"female","35 to 44 years",1
"organism_acinetobacter_spp","Carbapenem-S",0,"female","55 to 64 years",2
"organism_acinetobacter_spp","Carbapenem-S",0,"female","65 to 80 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"male","25 to 34 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"male","35 to 44 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"male","45 to 54 years",2
"organism_acinetobacter_spp","Carbapenem-S",1,"male","5 to 14 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"male","55 to 64 years",4
"organism_acinetobacter_spp","Carbapenem-S",1,"male","65 to 80 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"female","15 to 24 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"female","25 to 34 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"female","45 to 54 years",1
"organism_acinetobacter_spp","Carbapenem-S",1,"female","65 to 80 years",2
