"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",57,3,60,5,"2","14"
"Staphylococcus aureus","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Community","Clindamycin",54,6,60,10,"5","20"
"Enterococcus spp.","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",26,0,26,0,"0","13"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",5,0,5,0,"0","43"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",3,2,5,40,"12","77"
"Streptococcus pneumoniae","Community","3GC",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Cefotaxime",6,0,6,0,"0","39"
"Streptococcus pneumoniae","Community","Erythromycin",3,3,6,50,"19","81"
"Streptococcus pneumoniae","Community","Clindamycin",3,3,6,50,"19","81"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",1,11,12,92,"65","99"
"Salmonella spp.","Community","Ciprofloxacin",1,11,12,92,"65","99"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",13,3,16,19,"7","43"
"Salmonella spp.","Community","Ceftriaxone",14,2,16,12,"3","36"
"Salmonella spp.","Community","Cefotaxime",1,1,2,50,"9","91"
"Salmonella spp.","Community","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Amikacin",85,0,85,0,"0","4"
"Escherichia coli","Community","Co-trimoxazole",3,1,4,25,"5","70"
"Escherichia coli","Community","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","FLUOROQUINOLONES",55,30,85,35,"26","46"
"Escherichia coli","Community","Ciprofloxacin",58,27,85,32,"23","42"
"Escherichia coli","Community","Levofloxacin",10,8,18,44,"25","66"
"Escherichia coli","Community","3GC",76,9,85,11,"6","19"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",76,9,85,11,"6","19"
"Escherichia coli","Community","Cefotaxime",2,0,2,0,"0","66"
"Escherichia coli","Community","Ceftazidime",77,8,85,9,"5","17"
"Escherichia coli","Community","Cefepime",75,6,81,7,"3","15"
"Escherichia coli","Community","CARBAPENEMS",80,5,85,6,"3","13"
"Escherichia coli","Community","Imipenem",80,5,85,6,"3","13"
"Escherichia coli","Community","Meropenem",80,5,85,6,"3","13"
"Escherichia coli","Community","Ertapenem",79,2,81,2,"1","9"
"Escherichia coli","Community","Doripenem",17,0,17,0,"0","18"
"Escherichia coli","Community","Colistin",0,3,3,100,"44","100"
"Klebsiella pneumoniae","Community","Gentamicin",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Community","Amikacin",43,1,44,2,"0","12"
"Klebsiella pneumoniae","Community","Co-trimoxazole",2,1,3,33,"6","79"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",32,13,45,29,"18","43"
"Klebsiella pneumoniae","Community","Ciprofloxacin",32,13,45,29,"18","43"
"Klebsiella pneumoniae","Community","Levofloxacin",10,2,12,17,"5","45"
"Klebsiella pneumoniae","Community","3GC",41,4,45,9,"4","21"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftriaxone",41,4,45,9,"4","21"
"Klebsiella pneumoniae","Community","Cefotaxime",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Ceftazidime",41,4,45,9,"4","21"
"Klebsiella pneumoniae","Community","Cefepime",38,4,42,10,"4","22"
"Klebsiella pneumoniae","Community","CARBAPENEMS",38,7,45,16,"8","29"
"Klebsiella pneumoniae","Community","Imipenem",39,5,44,11,"5","24"
"Klebsiella pneumoniae","Community","Meropenem",40,5,45,11,"5","23"
"Klebsiella pneumoniae","Community","Ertapenem",41,2,43,5,"1","15"
"Klebsiella pneumoniae","Community","Doripenem",10,0,10,0,"0","28"
"Klebsiella pneumoniae","Community","Colistin",0,1,1,100,"21","100"
"Pseudomonas aeruginosa","Community","Ceftazidime",13,2,15,13,"4","38"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",12,3,15,20,"7","45"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",12,1,13,8,"1","33"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",15,0,15,0,"0","20"
"Pseudomonas aeruginosa","Community","Gentamicin",4,0,4,0,"0","49"
"Pseudomonas aeruginosa","Community","Amikacin",15,0,15,0,"0","20"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",9,6,15,40,"20","64"
"Pseudomonas aeruginosa","Community","Imipenem",9,6,15,40,"20","64"
"Pseudomonas aeruginosa","Community","Meropenem",10,5,15,33,"15","58"
"Pseudomonas aeruginosa","Community","Doripenem",6,4,10,40,"17","69"
"Pseudomonas aeruginosa","Community","Colistin",0,1,1,100,"21","100"
"Acinetobacter spp.","Community","Tigecycline",8,0,8,0,"0","32"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","Gentamicin",1,0,1,0,"0","79"
"Acinetobacter spp.","Community","Amikacin",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","CARBAPENEMS",21,2,23,9,"2","27"
"Acinetobacter spp.","Community","Imipenem",20,2,22,9,"3","28"
"Acinetobacter spp.","Community","Meropenem",21,2,23,9,"2","27"
"Acinetobacter spp.","Community","Doripenem",12,2,14,14,"4","40"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",12,0,12,0,"0","24"
"Staphylococcus aureus","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Clindamycin",12,0,12,0,"0","24"
"Enterococcus spp.","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",35,0,35,0,"0","10"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","Ciprofloxacin",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","Ceftriaxone",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Amikacin",34,0,34,0,"0","10"
"Escherichia coli","Hospital","Co-trimoxazole",1,0,1,0,"0","79"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",4,30,34,88,"73","95"
"Escherichia coli","Hospital","Ciprofloxacin",4,30,34,88,"73","95"
"Escherichia coli","Hospital","Levofloxacin",1,5,6,83,"44","97"
"Escherichia coli","Hospital","3GC",14,20,34,59,"42","74"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",14,20,34,59,"42","74"
"Escherichia coli","Hospital","Cefotaxime",1,0,1,0,"0","79"
"Escherichia coli","Hospital","Ceftazidime",14,20,34,59,"42","74"
"Escherichia coli","Hospital","Cefepime",13,18,31,58,"41","74"
"Escherichia coli","Hospital","CARBAPENEMS",17,17,34,50,"34","66"
"Escherichia coli","Hospital","Imipenem",19,15,34,44,"29","61"
"Escherichia coli","Hospital","Meropenem",19,15,34,44,"29","61"
"Escherichia coli","Hospital","Ertapenem",17,14,31,45,"29","62"
"Escherichia coli","Hospital","Doripenem",3,3,6,50,"19","81"
"Escherichia coli","Hospital","Colistin",0,7,7,100,"65","100"
"Klebsiella pneumoniae","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Amikacin",48,7,55,13,"6","24"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",0,2,2,100,"34","100"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",9,46,55,84,"72","91"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",9,46,55,84,"72","91"
"Klebsiella pneumoniae","Hospital","Levofloxacin",5,19,24,79,"60","91"
"Klebsiella pneumoniae","Hospital","3GC",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftazidime",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Cefepime",9,43,52,83,"70","91"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Imipenem",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Meropenem",10,45,55,82,"70","90"
"Klebsiella pneumoniae","Hospital","Ertapenem",10,34,44,77,"63","87"
"Klebsiella pneumoniae","Hospital","Doripenem",5,19,24,79,"60","91"
"Klebsiella pneumoniae","Hospital","Colistin",0,32,32,100,"89","100"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",18,3,21,14,"5","35"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",18,3,21,14,"5","35"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",16,4,20,20,"8","42"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",18,3,21,14,"5","35"
"Pseudomonas aeruginosa","Hospital","Gentamicin",1,1,2,50,"9","91"
"Pseudomonas aeruginosa","Hospital","Amikacin",17,3,20,15,"5","36"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",14,7,21,33,"17","55"
"Pseudomonas aeruginosa","Hospital","Imipenem",16,5,21,24,"11","45"
"Pseudomonas aeruginosa","Hospital","Meropenem",16,5,21,24,"11","45"
"Pseudomonas aeruginosa","Hospital","Doripenem",10,5,15,33,"15","58"
"Pseudomonas aeruginosa","Hospital","Colistin",0,4,4,100,"51","100"
"Acinetobacter spp.","Hospital","Tigecycline",19,0,19,0,"0","17"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Amikacin",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","CARBAPENEMS",11,50,61,82,"71","90"
"Acinetobacter spp.","Hospital","Imipenem",11,49,60,82,"70","89"
"Acinetobacter spp.","Hospital","Meropenem",11,50,61,82,"71","90"
"Acinetobacter spp.","Hospital","Doripenem",9,35,44,80,"65","89"
"Acinetobacter spp.","Hospital","Colistin",0,24,24,100,"86","100"
