"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",3,49.825610363727,16.94662,146.4014,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",0,0,0,63.76033,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,63.76033,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",11,182.693904666999,102.0464,326.86877,"Community"
"E. coli","3GC-NS E. coli",9,149.476831091181,78.66187,283.86151,"Community"
"E. coli","Carbapenem-NSE. coli",5,83.0426839395449,35.47592,194.26388,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",4,66.4341471516359,25.83788,170.70603,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",7,116.259757515363,56.32831,239.80328,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",6,99.6512207274539,45.6788,217.2569,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",2,33.217073575818,9.10979,121.04233,"Community"
