"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",26,41,67,61,"49","72"
"Staphylococcus aureus","Vancomycin",68,0,68,0,"0","5"
"Staphylococcus aureus","Clindamycin",18,50,68,74,"62","83"
"Enterococcus spp.","Ampicillin",7,1,8,12,"2","47"
"Enterococcus spp.","Vancomycin",7,1,8,12,"2","47"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Oxacillin",1,10,11,91,"62","98"
"Streptococcus pneumoniae","Co-trimoxazole",5,18,23,78,"58","90"
"Streptococcus pneumoniae","3GC",23,2,25,8,"2","25"
"Streptococcus pneumoniae","Ceftriaxone",23,2,25,8,"2","25"
"Streptococcus pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Erythromycin",0,25,25,100,"87","100"
"Streptococcus pneumoniae","Clindamycin",1,24,25,96,"80","99"
"Streptococcus pneumoniae","Levofloxacin",24,1,25,4,"1","20"
"Salmonella spp.","FLUOROQUINOLONES",47,4,51,8,"3","18"
"Salmonella spp.","Ciprofloxacin",6,4,10,40,"17","69"
"Salmonella spp.","Levofloxacin",50,1,51,2,"0","10"
"Salmonella spp.","3GC",50,1,51,2,"0","10"
"Salmonella spp.","Ceftriaxone",50,1,51,2,"0","10"
"Salmonella spp.","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",51,0,51,0,"0","7"
"Salmonella spp.","Imipenem",51,0,51,0,"0","7"
"Salmonella spp.","Meropenem",51,0,51,0,"0","7"
"Salmonella spp.","Ertapenem",51,0,51,0,"0","7"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Amikacin",27,0,27,0,"0","12"
"Escherichia coli","Co-trimoxazole",50,77,127,61,"52","69"
"Escherichia coli","Ampicillin",1,0,1,0,"0","79"
"Escherichia coli","FLUOROQUINOLONES",77,95,172,55,"48","62"
"Escherichia coli","Ciprofloxacin",62,77,139,55,"47","63"
"Escherichia coli","Levofloxacin",77,95,172,55,"48","62"
"Escherichia coli","3GC",66,102,168,61,"53","68"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",65,102,167,61,"54","68"
"Escherichia coli","Cefotaxime",65,95,160,59,"52","67"
"Escherichia coli","Ceftazidime",0,0,0,NA,"NA","NA"
"Escherichia coli","Cefepime",74,97,171,57,"49","64"
"Escherichia coli","CARBAPENEMS",167,5,172,3,"1","7"
"Escherichia coli","Imipenem",167,5,172,3,"1","7"
"Escherichia coli","Meropenem",165,5,170,3,"1","7"
"Escherichia coli","Ertapenem",165,1,166,1,"0","3"
"Escherichia coli","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Colistin",104,65,169,38,"31","46"
"Klebsiella pneumoniae","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Amikacin",11,0,11,0,"0","26"
"Klebsiella pneumoniae","Co-trimoxazole",35,11,46,24,"14","38"
"Klebsiella pneumoniae","FLUOROQUINOLONES",45,4,49,8,"3","19"
"Klebsiella pneumoniae","Ciprofloxacin",36,4,40,10,"4","23"
"Klebsiella pneumoniae","Levofloxacin",45,4,49,8,"3","19"
"Klebsiella pneumoniae","3GC",46,2,48,4,"1","14"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",46,2,48,4,"1","14"
"Klebsiella pneumoniae","Cefotaxime",43,2,45,4,"1","15"
"Klebsiella pneumoniae","Ceftazidime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Cefepime",46,3,49,6,"2","17"
"Klebsiella pneumoniae","CARBAPENEMS",48,1,49,2,"0","11"
"Klebsiella pneumoniae","Imipenem",48,1,49,2,"0","11"
"Klebsiella pneumoniae","Meropenem",48,1,49,2,"0","11"
"Klebsiella pneumoniae","Ertapenem",47,0,47,0,"0","8"
"Klebsiella pneumoniae","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Colistin",44,4,48,8,"3","20"
"Pseudomonas aeruginosa","Ceftazidime",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ciprofloxacin",6,3,9,33,"12","65"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",6,2,8,25,"7","59"
"Pseudomonas aeruginosa","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Amikacin",6,2,8,25,"7","59"
"Pseudomonas aeruginosa","CARBAPENEMS",5,4,9,44,"19","73"
"Pseudomonas aeruginosa","Imipenem",7,2,9,22,"6","55"
"Pseudomonas aeruginosa","Meropenem",5,4,9,44,"19","73"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",8,1,9,11,"2","43"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",12,2,14,14,"4","40"
"Acinetobacter spp.","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Amikacin",12,2,14,14,"4","40"
"Acinetobacter spp.","CARBAPENEMS",9,6,15,40,"20","64"
"Acinetobacter spp.","Imipenem",9,6,15,40,"20","64"
"Acinetobacter spp.","Meropenem",9,6,15,40,"20","64"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",10,5,15,33,"15","58"
