"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Methicillin",175,37,212,17,"13","23"
"Staphylococcus aureus","Vancomycin",212,0,212,0,"0","2"
"Staphylococcus aureus","Clindamycin",161,51,212,24,"19","30"
"Enterococcus spp.","Ampicillin",77,46,123,37,"29","46"
"Enterococcus spp.","Vancomycin",120,3,123,2,"1","7"
"Enterococcus spp.","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Linezolid",3,0,3,0,"0","56"
"Enterococcus spp.","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Penicillin G",42,0,42,0,"0","8"
"Streptococcus pneumoniae","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Co-trimoxazole",11,31,42,74,"59","85"
"Streptococcus pneumoniae","3GC",41,0,41,0,"0","9"
"Streptococcus pneumoniae","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Cefotaxime",41,0,41,0,"0","9"
"Streptococcus pneumoniae","Erythromycin",29,14,43,33,"20","47"
"Streptococcus pneumoniae","Clindamycin",34,9,43,21,"11","35"
"Streptococcus pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","FLUOROQUINOLONES",21,40,61,66,"53","76"
"Salmonella spp.","Ciprofloxacin",21,40,61,66,"53","76"
"Salmonella spp.","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","3GC",43,19,62,31,"21","43"
"Salmonella spp.","Ceftriaxone",43,19,62,31,"21","43"
"Salmonella spp.","Cefotaxime",43,19,62,31,"21","43"
"Salmonella spp.","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Gentamicin",339,183,522,35,"31","39"
"Escherichia coli","Amikacin",514,10,524,2,"1","3"
"Escherichia coli","Co-trimoxazole",199,325,524,62,"58","66"
"Escherichia coli","Ampicillin",63,461,524,88,"85","90"
"Escherichia coli","FLUOROQUINOLONES",250,265,515,51,"47","56"
"Escherichia coli","Ciprofloxacin",250,265,515,51,"47","56"
"Escherichia coli","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","3GC",273,251,524,48,"44","52"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",275,249,524,48,"43","52"
"Escherichia coli","Cefotaxime",273,251,524,48,"44","52"
"Escherichia coli","Ceftazidime",322,182,504,36,"32","40"
"Escherichia coli","Cefepime",32,19,51,37,"25","51"
"Escherichia coli","CARBAPENEMS",514,9,523,2,"1","3"
"Escherichia coli","Imipenem",515,8,523,2,"1","3"
"Escherichia coli","Meropenem",411,6,417,1,"1","3"
"Escherichia coli","Ertapenem",509,9,518,2,"1","3"
"Escherichia coli","Doripenem",4,0,4,0,"0","49"
"Escherichia coli","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Gentamicin",223,58,281,21,"16","26"
"Klebsiella pneumoniae","Amikacin",267,14,281,5,"3","8"
"Klebsiella pneumoniae","Co-trimoxazole",136,145,281,52,"46","57"
"Klebsiella pneumoniae","FLUOROQUINOLONES",153,125,278,45,"39","51"
"Klebsiella pneumoniae","Ciprofloxacin",153,125,278,45,"39","51"
"Klebsiella pneumoniae","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","3GC",139,142,281,51,"45","56"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",140,141,281,50,"44","56"
"Klebsiella pneumoniae","Cefotaxime",139,142,281,51,"45","56"
"Klebsiella pneumoniae","Ceftazidime",143,135,278,49,"43","54"
"Klebsiella pneumoniae","Cefepime",13,7,20,35,"18","57"
"Klebsiella pneumoniae","CARBAPENEMS",267,14,281,5,"3","8"
"Klebsiella pneumoniae","Imipenem",275,6,281,2,"1","5"
"Klebsiella pneumoniae","Meropenem",216,8,224,4,"2","7"
"Klebsiella pneumoniae","Ertapenem",264,14,278,5,"3","8"
"Klebsiella pneumoniae","Doripenem",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Ceftazidime",97,20,117,17,"11","25"
"Pseudomonas aeruginosa","Ciprofloxacin",102,15,117,13,"8","20"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",6,5,11,45,"21","72"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",97,20,117,17,"11","25"
"Pseudomonas aeruginosa","Gentamicin",98,19,117,16,"11","24"
"Pseudomonas aeruginosa","Amikacin",104,13,117,11,"7","18"
"Pseudomonas aeruginosa","CARBAPENEMS",93,24,117,21,"14","29"
"Pseudomonas aeruginosa","Imipenem",95,22,117,19,"13","27"
"Pseudomonas aeruginosa","Meropenem",78,14,92,15,"9","24"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",208,0,208,0,"0","2"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",90,156,246,63,"57","69"
"Acinetobacter spp.","Gentamicin",92,154,246,63,"56","68"
"Acinetobacter spp.","Amikacin",119,127,246,52,"45","58"
"Acinetobacter spp.","CARBAPENEMS",84,162,246,66,"60","71"
"Acinetobacter spp.","Imipenem",84,162,246,66,"60","71"
"Acinetobacter spp.","Meropenem",71,125,196,64,"57","70"
"Acinetobacter spp.","Doripenem",0,1,1,100,"21","100"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
