"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Staphylococcus aureus","Community","Methicillin",129,19,148,13,"8","19"
"Staphylococcus aureus","Community","Vancomycin",148,0,148,0,"0","3"
"Staphylococcus aureus","Community","Clindamycin",120,28,148,19,"13","26"
"Enterococcus spp.","Community","Ampicillin",50,11,61,18,"10","29"
"Enterococcus spp.","Community","Vancomycin",60,1,61,2,"0","9"
"Enterococcus spp.","Community","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Community","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Penicillin G",37,0,37,0,"0","9"
"Streptococcus pneumoniae","Community","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Co-trimoxazole",11,26,37,70,"54","83"
"Streptococcus pneumoniae","Community","3GC",36,0,36,0,"0","10"
"Streptococcus pneumoniae","Community","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Community","Cefotaxime",36,0,36,0,"0","10"
"Streptococcus pneumoniae","Community","Erythromycin",26,12,38,32,"19","47"
"Streptococcus pneumoniae","Community","Clindamycin",30,8,38,21,"11","36"
"Streptococcus pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","FLUOROQUINOLONES",18,33,51,65,"51","76"
"Salmonella spp.","Community","Ciprofloxacin",18,33,51,65,"51","76"
"Salmonella spp.","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","3GC",37,15,52,29,"18","42"
"Salmonella spp.","Community","Ceftriaxone",37,15,52,29,"18","42"
"Salmonella spp.","Community","Cefotaxime",37,15,52,29,"18","42"
"Salmonella spp.","Community","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",269,129,398,32,"28","37"
"Escherichia coli","Community","Amikacin",396,4,400,1,"0","3"
"Escherichia coli","Community","Co-trimoxazole",153,247,400,62,"57","66"
"Escherichia coli","Community","Ampicillin",53,347,400,87,"83","90"
"Escherichia coli","Community","FLUOROQUINOLONES",201,191,392,49,"44","54"
"Escherichia coli","Community","Ciprofloxacin",201,191,392,49,"44","54"
"Escherichia coli","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","3GC",222,178,400,44,"40","49"
"Escherichia coli","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftriaxone",222,178,400,44,"40","49"
"Escherichia coli","Community","Cefotaxime",222,178,400,44,"40","49"
"Escherichia coli","Community","Ceftazidime",262,125,387,32,"28","37"
"Escherichia coli","Community","Cefepime",28,12,40,30,"18","45"
"Escherichia coli","Community","CARBAPENEMS",397,2,399,1,"0","2"
"Escherichia coli","Community","Imipenem",397,2,399,1,"0","2"
"Escherichia coli","Community","Meropenem",314,0,314,0,"0","1"
"Escherichia coli","Community","Ertapenem",396,2,398,1,"0","2"
"Escherichia coli","Community","Doripenem",1,0,1,0,"0","79"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",116,24,140,17,"12","24"
"Klebsiella pneumoniae","Community","Amikacin",136,4,140,3,"1","7"
"Klebsiella pneumoniae","Community","Co-trimoxazole",89,51,140,36,"29","45"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",93,44,137,32,"25","40"
"Klebsiella pneumoniae","Community","Ciprofloxacin",93,44,137,32,"25","40"
"Klebsiella pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","3GC",93,47,140,34,"26","42"
"Klebsiella pneumoniae","Community","Cefpodoxime",0,0,0,NA,"NA","NA"
