"Organism","Priority_pathogen","Number_of_patients","frequency_per_tested","frequency_per_tested_lci","frequency_per_tested_uci","Infection_origin"
"S. aureus","MRSA ",19,118.166552646309,75.66523,184.49687,"Community"
"Enterococcus spp.","Vancomycin-NSEnterococcus spp.",1,6.21929224454257,1.09787,35.2232,"Community"
"S. pneumoniae","Penicillin-NSS. pneumoniae",0,0,0,23.88545,"Community"
"Salmonella spp.","Fluoroquinolone-NSSalmonella spp.",33,205.236644069905,146.1827,288.07799,"Community"
"E. coli","3GC-NS E. coli",178,1107.03401952858,956.58378,1280.84087,"Community"
"E. coli","Carbapenem-NSE. coli",2,12.4385844890851,3.41117,45.3455,"Community"
"K. pneumoniae","3GC-NS K. pneumoniae",47,292.306735493501,219.9037,388.45559,"Community"
"K. pneumoniae","Carbapenem-NSK. pneumoniae",3,18.6578767336277,6.34556,54.84673,"Community"
"P. aeruginosa","Carbapenem-NSP. aeruginosa",3,18.6578767336277,6.34556,54.84673,"Community"
"Acinetobacter spp.","Carbapenem-NSAcinetobacter spp.",18,111.947260401766,70.82639,176.9001,"Community"
