"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_escherichia_coli","3GCNS−carb−NS",0,"male","Unknown",2
"organism_escherichia_coli","3GCNS−carb−NS",1,"male","Unknown",4
"organism_escherichia_coli","3GCNS−carb−NS",1,"female","45 to 54 years",1
"organism_escherichia_coli","3GCNS−carb−NS",1,"female","5 to 14 years",1
"organism_escherichia_coli","3GCNS−carb−NS",1,"female","Unknown",1
"organism_escherichia_coli","3GCNS−carb−S",0,"male","25 to 34 years",2
"organism_escherichia_coli","3GCNS−carb−S",0,"male","35 to 44 years",7
"organism_escherichia_coli","3GCNS−carb−S",0,"male","45 to 54 years",1
"organism_escherichia_coli","3GCNS−carb−S",0,"male","Unknown",75
"organism_escherichia_coli","3GCNS−carb−S",0,"female","15 to 24 years",2
"organism_escherichia_coli","3GCNS−carb−S",0,"female","25 to 34 years",5
"organism_escherichia_coli","3GCNS−carb−S",0,"female","35 to 44 years",4
"organism_escherichia_coli","3GCNS−carb−S",0,"female","45 to 54 years",2
"organism_escherichia_coli","3GCNS−carb−S",0,"female","Less than 1",1
"organism_escherichia_coli","3GCNS−carb−S",0,"female","Unknown",77
"organism_escherichia_coli","3GCNS−carb−S",1,"male","25 to 34 years",2
"organism_escherichia_coli","3GCNS−carb−S",1,"male","35 to 44 years",3
"organism_escherichia_coli","3GCNS−carb−S",1,"male","Unknown",29
"organism_escherichia_coli","3GCNS−carb−S",1,"female","25 to 34 years",1
"organism_escherichia_coli","3GCNS−carb−S",1,"female","35 to 44 years",1
"organism_escherichia_coli","3GCNS−carb−S",1,"female","45 to 54 years",1
"organism_escherichia_coli","3GCNS−carb−S",1,"female","Unknown",22
"organism_escherichia_coli","3GCS−carb−S",0,"male","15 to 24 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"male","25 to 34 years",3
"organism_escherichia_coli","3GCS−carb−S",0,"male","35 to 44 years",7
"organism_escherichia_coli","3GCS−carb−S",0,"male","45 to 54 years",3
"organism_escherichia_coli","3GCS−carb−S",0,"male","Less than 1",1
"organism_escherichia_coli","3GCS−carb−S",0,"male","Unknown",58
"organism_escherichia_coli","3GCS−carb−S",0,"female","1 to 4 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","15 to 24 years",3
"organism_escherichia_coli","3GCS−carb−S",0,"female","25 to 34 years",5
"organism_escherichia_coli","3GCS−carb−S",0,"female","35 to 44 years",9
"organism_escherichia_coli","3GCS−carb−S",0,"female","45 to 54 years",1
"organism_escherichia_coli","3GCS−carb−S",0,"female","Less than 1",4
"organism_escherichia_coli","3GCS−carb−S",0,"female","Unknown",123
"organism_escherichia_coli","3GCS−carb−S",0,NA,"Unknown",2
"organism_escherichia_coli","3GCS−carb−S",1,"male","15 to 24 years",1
"organism_escherichia_coli","3GCS−carb−S",1,"male","35 to 44 years",1
"organism_escherichia_coli","3GCS−carb−S",1,"male","45 to 54 years",2
"organism_escherichia_coli","3GCS−carb−S",1,"male","Unknown",15
"organism_escherichia_coli","3GCS−carb−S",1,"female","1 to 4 years",1
"organism_escherichia_coli","3GCS−carb−S",1,"female","15 to 24 years",1
"organism_escherichia_coli","3GCS−carb−S",1,"female","25 to 34 years",1
"organism_escherichia_coli","3GCS−carb−S",1,"female","Unknown",22
"organism_escherichia_coli",NA,0,"male","Unknown",1
