"Organism","AMR_str","Origin_of_infection","Gender","Age_group","count"
"organism_enterococcus_spp","Vancomycin-NS",0,"male","35 to 44 years",1
"organism_enterococcus_spp","Vancomycin-NS",1,"male","Unknown",1
"organism_enterococcus_spp","Vancomycin-NS",1,"female","35 to 44 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"male","25 to 34 years",3
"organism_enterococcus_spp","Vancomycin-S",0,"male","35 to 44 years",4
"organism_enterococcus_spp","Vancomycin-S",0,"male","45 to 54 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"male","Less than 1",2
"organism_enterococcus_spp","Vancomycin-S",0,"male","Unknown",30
"organism_enterococcus_spp","Vancomycin-S",0,"female","35 to 44 years",3
"organism_enterococcus_spp","Vancomycin-S",0,"female","5 to 14 years",1
"organism_enterococcus_spp","Vancomycin-S",0,"female","Unknown",16
"organism_enterococcus_spp","Vancomycin-S",1,"male","1 to 4 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"male","15 to 24 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"male","25 to 34 years",3
"organism_enterococcus_spp","Vancomycin-S",1,"male","35 to 44 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"male","Less than 1",1
"organism_enterococcus_spp","Vancomycin-S",1,"male","Unknown",25
"organism_enterococcus_spp","Vancomycin-S",1,"female","15 to 24 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"female","35 to 44 years",1
"organism_enterococcus_spp","Vancomycin-S",1,"female","Less than 1",2
"organism_enterococcus_spp","Vancomycin-S",1,"female","Unknown",16
