"Organism","AST3gcCarb","Origin_of_infection","Gender","Age_group","count"
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",0,"male","Unknown",2
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",0,"female","Unknown",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"male","1 to 4 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"male","35 to 44 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"male","Less than 1",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"male","Unknown",3
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"female","Less than 1",1
"organism_klebsiella_pneumoniae","3GCNS−carb−NS",1,"female","Unknown",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","35 to 44 years",3
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","45 to 54 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","5 to 14 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"male","Unknown",18
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","15 to 24 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","35 to 44 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","Less than 1",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",0,"female","Unknown",15
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","1 to 4 years",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","25 to 34 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","35 to 44 years",4
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","45 to 54 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","5 to 14 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","Less than 1",3
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"male","Unknown",30
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","1 to 4 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","15 to 24 years",3
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","35 to 44 years",3
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","45 to 54 years",1
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","Less than 1",2
"organism_klebsiella_pneumoniae","3GCNS−carb−S",1,"female","Unknown",26
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","25 to 34 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","35 to 44 years",7
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","5 to 14 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","Less than 1",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"male","Unknown",45
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","1 to 4 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","15 to 24 years",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","35 to 44 years",4
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","Less than 1",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",0,"female","Unknown",29
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","15 to 24 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","35 to 44 years",2
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","Less than 1",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"male","Unknown",20
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","Less than 1",1
"organism_klebsiella_pneumoniae","3GCS−carb−S",1,"female","Unknown",12
